id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HMFDE9ESJ9QCS6RA6BQQG0B1,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:32.921420372Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:32.921420372Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:10:32.921420372Z,01HMFDA9FQKW8N0XESVC3X0D1F,2024-01-18T23:10:32.921420372Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:10:32.921420372Z,,,,
01HMFDE9EYGYV7EJ47349J0Q6B,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:32.926427805Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:32.926427805Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:10:32.926427805Z,01HMFDA9FQKW8N0XESVC3X0D1F,2024-01-18T23:10:32.926427805Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:10:32.926427805Z,,,,
01HMFDE9F270DBG0XDYXES2VV9,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:32.930681543Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:32.930681543Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:10:32.930681543Z,01HMFDA9FQKW8N0XESVC3X0D1F,2024-01-18T23:10:32.930681543Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:10:32.930681543Z,,,,
01HMFDE9FDSBZJX7CE2PGWPQCY,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:10:32.941086311Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:10:32.941086311Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:10:32.941086311Z,01HMFDA9FQKW8N0XESVC3X0D1F,2024-01-18T23:10:32.941086311Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:10:32.941086311Z,,,,
01HMFDF6TAWCZEJSNHSY9CYBGM,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:02.986259437Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:02.986259437Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:11:02.986259437Z,01HMFDA9FVKCDRM2YM2ESG2PSN,2024-01-18T23:11:02.986259437Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:11:02.986259437Z,92,2024-01-18T23:11:12.107443951Z,true,2024-01-18T23:11:12.162590593Z
01HMFDF6THT7SVGQ8979Q31Q1V,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:02.993793056Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:02.993793056Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:11:02.993793056Z,01HMFDA9FVKCDRM2YM2ESG2PSN,2024-01-18T23:11:02.993793056Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:11:02.993793056Z,93,2024-01-18T23:11:15.602411127Z,true,2024-01-18T23:11:15.602998643Z
01HMFDF6TQP3X0PFK6WF9B80NS,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:02.999415495Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:02.999415495Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:11:02.999415495Z,01HMFDA9FVKCDRM2YM2ESG2PSN,2024-01-18T23:11:02.999415495Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:11:02.999415495Z,82,2024-01-18T23:11:09.343977034Z,true,2024-01-18T23:11:09.344593971Z
01HMFDF6TVKD33KCD6WY80H26A,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:03.003477978Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:03.003477978Z,01HMFDA9BX88MKGW8D7G33GXHF,2024-01-18T23:11:03.003477978Z,01HMFDA9FVKCDRM2YM2ESG2PSN,2024-01-18T23:11:03.003477978Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:11:03.003477978Z,90,2024-01-18T23:11:08.492716362Z,true,2024-01-18T23:11:08.49231202Z
01HMFDFK6V273EEBV42DBMHKCF,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:15.67590001Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:15.67590001Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:15.67590001Z,01HMFDA9FDT39ERK5KXFPE5FF3,2024-01-18T23:11:15.67590001Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:11:15.67590001Z,,,,
01HMFDFK71WMCTB6G0SFY6EE9C,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:15.681829235Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:15.681829235Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:15.681829235Z,01HMFDA9FDT39ERK5KXFPE5FF3,2024-01-18T23:11:15.681829235Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:11:15.681829235Z,,,,
01HMFDFK76HHY3ME817611CSQH,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:15.686647148Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:15.686647148Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:15.686647148Z,01HMFDA9FDT39ERK5KXFPE5FF3,2024-01-18T23:11:15.686647148Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:11:15.686647148Z,,,,
01HMFDFK7CSJ654WR1RX7997MT,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:15.692558764Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:15.692558764Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:15.692558764Z,01HMFDA9FDT39ERK5KXFPE5FF3,2024-01-18T23:11:15.692558764Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:11:15.692558764Z,,,,
01HMFDGGJ0VXM7SHPQD11J52KJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:45.72903072Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:45.72903072Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:45.72903072Z,01HMFDA9FDT39ERK5KXYN53W2H,2024-01-18T23:11:45.72903072Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:11:45.72903072Z,83,2024-01-18T23:11:52.279897239Z,true,2024-01-18T23:11:52.334861733Z
01HMFDGGJ5RNFGCNX2FT3ZNWPE,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:45.73375471Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:45.73375471Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:45.73375471Z,01HMFDA9FDT39ERK5KXYN53W2H,2024-01-18T23:11:45.73375471Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:11:45.73375471Z,81,2024-01-18T23:11:52.396645938Z,true,2024-01-18T23:11:52.401806681Z
01HMFDGGJ9FFTBTG3VDTFNQKDW,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:45.737613118Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:45.737613118Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:45.737613118Z,01HMFDA9FDT39ERK5KXYN53W2H,2024-01-18T23:11:45.737613118Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:11:45.737613118Z,96,2024-01-18T23:11:50.52775693Z,true,2024-01-18T23:11:50.528087287Z
01HMFDGGJD7TXXR4NE38SQKRE8,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:45.741814935Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:45.741814935Z,01HMFDA9BW46WSC2QZP437H4SF,2024-01-18T23:11:45.741814935Z,01HMFDA9FDT39ERK5KXYN53W2H,2024-01-18T23:11:45.741814935Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:11:45.741814935Z,71,2024-01-18T23:11:53.26552036Z,true,2024-01-18T23:11:53.264919362Z
01HMFDGQZV4DAM0D7SBA7K9RRZ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:53.339439168Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:53.339439168Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:11:53.339439168Z,01HMFDA9FRZYNF1F6Z6Q2ASZ0A,2024-01-18T23:11:53.339439168Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:11:53.339439168Z,,,,
01HMFDGR02ZQXRHZ42RFG24JFF,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:53.346315952Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:53.346315952Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:11:53.346315952Z,01HMFDA9FRZYNF1F6Z6Q2ASZ0A,2024-01-18T23:11:53.346315952Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:11:53.346315952Z,,,,
01HMFDGR0681PHDJ5J29PY8NB6,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:53.350654577Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:53.350654577Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:11:53.350654577Z,01HMFDA9FRZYNF1F6Z6Q2ASZ0A,2024-01-18T23:11:53.350654577Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:11:53.350654577Z,,,,
01HMFDGR0CAG6APRYPS404VXX5,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:11:53.356211912Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:11:53.356211912Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:11:53.356211912Z,01HMFDA9FRZYNF1F6Z6Q2ASZ0A,2024-01-18T23:11:53.356211912Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:11:53.356211912Z,,,,
01HMFDHNB5A9JP8FT6FVGZAAW7,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:23.397418817Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:23.397418817Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:12:23.397418817Z,01HMFDA9FY3MTRMD65382WCQST,2024-01-18T23:12:23.397418817Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:12:23.397418817Z,85,2024-01-18T23:12:47.454569832Z,true,2024-01-18T23:12:47.50986082Z
01HMFDHNBA9REZ6RP4SAMBQB3R,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:23.402383991Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:23.402383991Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:12:23.402383991Z,01HMFDA9FY3MTRMD65382WCQST,2024-01-18T23:12:23.402383991Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:12:23.402383991Z,88,2024-01-18T23:12:28.895561077Z,true,2024-01-18T23:12:28.896703836Z
01HMFDHNBESPT48QMN6AC0Z4NB,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:23.40685116Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:23.40685116Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:12:23.40685116Z,01HMFDA9FY3MTRMD65382WCQST,2024-01-18T23:12:23.40685116Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:12:23.40685116Z,81,2024-01-18T23:12:49.334733352Z,true,2024-01-18T23:12:49.39149467Z
01HMFDHNBK594R3MC4E8JZ6HX0,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:23.411182719Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:23.411182719Z,01HMFDA9BX88MKGW8D5ZEXMPFQ,2024-01-18T23:12:23.411182719Z,01HMFDA9FY3MTRMD65382WCQST,2024-01-18T23:12:23.411182719Z,01HMFD9NAB663K18BAEPNNXZK1,2024-01-18T23:12:23.411182719Z,,,,
01HMFDJJRD2242DBY628RDQ128,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:53.517171688Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:53.517171688Z,01HMFDA9BYCG9KDWN22PGFTKZG,2024-01-18T23:12:53.517171688Z,01HMFDA9FH4SZMZ8PKMS07KKJC,2024-01-18T23:12:53.517171688Z,01HMFD75FJ85AGESJ2V4PHFHT2,2024-01-18T23:12:53.517171688Z,,,,
01HMFDJJRH5SG2793PMED4SFHJ,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:53.521616691Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:53.521616691Z,01HMFDA9BYCG9KDWN22PGFTKZG,2024-01-18T23:12:53.521616691Z,01HMFDA9FH4SZMZ8PKMS07KKJC,2024-01-18T23:12:53.521616691Z,01HMFD7DSPTQQQNVF7C9CJ2J0K,2024-01-18T23:12:53.521616691Z,,,,
01HMFDJJRPJNG2SH8VT3CZQRP8,01HMFD6NFNF5A82J4TFGX97VBB,2024-01-18T23:12:53.526306268Z,01HMFD6NG3J7CA3Y2NKT362RRC,2024-01-18T23:12:53.526306268Z,01HMFDA9BYCG9KDWN22PGFTKZG,2024-01-18T23:12:53.526306268Z,01HMFDA9FH4SZMZ8PKMS07KKJC,2024-01-18T23:12:53.526306268Z,01HMFD86N02T2Y1ZW99E0BXCAQ,2024-01-18T23:12:53.526306268Z,,,,
