id,ended,endedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,idx,idxLastChangedAt
01HNDDBP9ESARN3BQZP2ZRW33M,true,2024-01-30T14:47:16.494610111Z,Round 2 / 9,2024-01-30T14:46:20.719022152Z,true,2024-01-30T14:46:51.034298185Z,1,2024-01-30T14:46:20.719022152Z,1,2024-01-30T14:46:20.769039642Z,Chat,2024-01-30T14:46:20.719022152Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.719022152Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.719022152Z,2,2024-01-30T14:46:20.719022152Z
01HNDDBP9GASNAZ757KDEXGS30,true,2024-01-30T14:47:46.577978139Z,Round 3 / 9,2024-01-30T14:46:20.720962395Z,true,2024-01-30T14:47:16.5043611Z,2,2024-01-30T14:46:20.720962395Z,1,2024-01-30T14:46:20.786351244Z,Chat,2024-01-30T14:46:20.720962395Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.720962395Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.720962395Z,3,2024-01-30T14:46:20.720962395Z
01HNDDBP9HNXW670PAXF9RMS4X,true,2024-01-30T14:48:02.724708205Z,Round 4 / 9,2024-01-30T14:46:20.722004537Z,true,2024-01-30T14:47:46.589121494Z,3,2024-01-30T14:46:20.722004537Z,1,2024-01-30T14:46:20.85971586Z,Chat,2024-01-30T14:46:20.722004537Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.722004537Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.722004537Z,4,2024-01-30T14:46:20.722004537Z
01HNDDBP9K22N386783BC4NCKH,true,2024-01-30T14:48:34.950133364Z,Round 6 / 9,2024-01-30T14:46:20.723067683Z,true,2024-01-30T14:48:21.170361987Z,5,2024-01-30T14:46:20.723067683Z,1,2024-01-30T14:46:20.85971586Z,Chat,2024-01-30T14:46:20.723067683Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.723067683Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.723067683Z,6,2024-01-30T14:46:20.723067683Z
01HNDDBP9MF0VTQ8XMP09XQS29,true,2024-01-30T14:48:46.635063966Z,Round 7 / 9,2024-01-30T14:46:20.724094326Z,true,2024-01-30T14:48:34.966660248Z,6,2024-01-30T14:46:20.724094326Z,1,2024-01-30T14:46:20.864489284Z,Chat,2024-01-30T14:46:20.724094326Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.724094326Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.724094326Z,7,2024-01-30T14:46:20.724094326Z
01HNDDBP9NBFR31Y4YMAG82Y10,true,2024-01-30T14:48:55.234434492Z,Round 8 / 9,2024-01-30T14:46:20.725165943Z,true,2024-01-30T14:48:46.64763842Z,7,2024-01-30T14:46:20.725165943Z,1,2024-01-30T14:46:20.786351244Z,Chat,2024-01-30T14:46:20.725165943Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.725165943Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.725165943Z,8,2024-01-30T14:46:20.725165943Z
01HNDDBP9PNYB81TQ0JYNM8S9Y,true,2024-01-30T14:49:06.146340141Z,Round 9 / 9,2024-01-30T14:46:20.726248315Z,true,2024-01-30T14:48:55.248267946Z,8,2024-01-30T14:46:20.726248315Z,1,2024-01-30T14:46:20.85971586Z,Chat,2024-01-30T14:46:20.726248315Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.726248315Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.726248315Z,9,2024-01-30T14:46:20.726248315Z
01HNDDC3ZFRMSA1VY15Q9WDC4A,true,2024-01-30T14:47:35.168658154Z,Round 1 / 9,2024-01-30T14:46:34.735776043Z,true,2024-01-30T14:46:34.8691394Z,0,2024-01-30T14:46:34.735776043Z,2,2024-01-30T14:46:34.83919022Z,Chat,2024-01-30T14:46:34.735776043Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.735776043Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.735776043Z,1,2024-01-30T14:46:34.735776043Z
01HNDDC3ZHW6C90MFZ6R3V4BRY,true,2024-01-30T14:48:35.32601418Z,Round 2 / 9,2024-01-30T14:46:34.737105005Z,true,2024-01-30T14:47:35.185557499Z,1,2024-01-30T14:46:34.737105005Z,2,2024-01-30T14:46:34.878583438Z,Chat,2024-01-30T14:46:34.737105005Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.737105005Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.737105005Z,2,2024-01-30T14:46:34.737105005Z
01HNDDC3ZJGJF6P3JDXG3JFVRQ,true,2024-01-30T14:50:32.518060252Z,Round 4 / 9,2024-01-30T14:46:34.738376967Z,true,2024-01-30T14:49:35.513754642Z,3,2024-01-30T14:46:34.738376967Z,2,2024-01-30T14:46:34.841476389Z,Chat,2024-01-30T14:46:34.738376967Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:34.738376967Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:34.738376967Z,4,2024-01-30T14:46:34.738376967Z
