id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW6G04WFCV70R0RHAX6BBCMM,01HW6FVT8PTR9ZXPRY6PTPW27C,2024-04-23T22:07:39.919244294Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:07:39.919244294Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:39.919244294Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:39.919244294Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:39.919244294Z,36,2024-04-23T22:08:06.921074175Z,87,2024-04-23T22:08:06.921701794Z,true,2024-04-23T22:08:06.939998736Z
01HW6G04WN1JFJA0STX54D2DMY,01HW6FVT8PTR9ZXPRY6PTPW27C,2024-04-23T22:07:39.925975335Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:07:39.925975335Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:39.925975335Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:39.925975335Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:39.925975335Z,27,2024-04-23T22:08:05.982921752Z,83,2024-04-23T22:08:05.985522639Z,true,2024-04-23T22:08:05.986438512Z
01HW6G04WY6JSCPF7Q2PENS9J1,01HW6FVT8PTR9ZXPRY6PTPW27C,2024-04-23T22:07:39.934693068Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:07:39.934693068Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:07:39.934693068Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:07:39.934693068Z,01HW6FVT4HZMF0DVZHM2P3GE7D,2024-04-23T22:07:39.934693068Z,35,2024-04-23T22:07:53.220475716Z,38,2024-04-23T22:07:53.217927971Z,true,2024-04-23T22:07:53.222712167Z
01HW6G0ZBBPAWVJHBF9QB1Z53S,01HW6FVT7Y8W26ANXTH2V6VXSF,2024-04-23T22:08:07.019275934Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:08:07.019275934Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:07.019275934Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:07.019275934Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:07.019275934Z,,,,,,
01HW6G0ZBGZC0ZTKHSVKZ35DGN,01HW6FVT7Y8W26ANXTH2V6VXSF,2024-04-23T22:08:07.0244656Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:08:07.0244656Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:07.0244656Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:07.0244656Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:07.0244656Z,,,,,,
01HW6G0ZBN9KM0421BJARSQM9K,01HW6FVT7Y8W26ANXTH2V6VXSF,2024-04-23T22:08:07.029122933Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:08:07.029122933Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:07.029122933Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:07.029122933Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:07.029122933Z,,,,,,
01HW6G0ZBVXRCF9GXSKBWFJHKH,01HW6FVT7Y8W26ANXTH2V6VXSF,2024-04-23T22:08:07.035810854Z,01HW6FRK28Y2T7CEMSAAYJTYTX,2024-04-23T22:08:07.035810854Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:07.035810854Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:07.035810854Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:07.035810854Z,,,,,,
01HW6G1WPG1QZFRWC5TC4ZWQHF,01HW6FVT7Y8W26ANXTHKQNDNF2,2024-04-23T22:08:37.072785884Z,01HW6FGAEY90K0BM9RJC3HE9YQ,2024-04-23T22:08:37.072785884Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:37.072785884Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:37.072785884Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:37.072785884Z,29,2024-04-23T22:08:45.873103202Z,85,2024-04-23T22:08:45.875818602Z,true,2024-04-23T22:08:45.878448002Z
01HW6G1WPMR1CJ0Z1XQBRDFXBA,01HW6FVT7Y8W26ANXTHKQNDNF2,2024-04-23T22:08:37.076362871Z,01HW6FMQN4FVV45ZRZH42BXWX2,2024-04-23T22:08:37.076362871Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:37.076362871Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:37.076362871Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:37.076362871Z,15,2024-04-23T22:08:57.089612097Z,81,2024-04-23T22:08:57.107672114Z,true,2024-04-23T22:08:57.088865913Z
01HW6G1WPR2PJBAYJY9QCHY6HK,01HW6FVT7Y8W26ANXTHKQNDNF2,2024-04-23T22:08:37.080234185Z,01HW6FQZ7B289SF7Z3DMTVPTNK,2024-04-23T22:08:37.080234185Z,01HW6F59ZF307EV6Q8E1CWQJTW,2024-04-23T22:08:37.080234185Z,01HW6F59ZSW34S67SZT8BXWSHZ,2024-04-23T22:08:37.080234185Z,01HW6FVT4G23C3W9JC4ECV71A4,2024-04-23T22:08:37.080234185Z,46,2024-04-23T22:09:03.667765426Z,25,2024-04-23T22:09:03.669678287Z,true,2024-04-23T22:09:04.143098391Z
