id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HVSW4PCDBET80W0HHBPRF2E6,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:44.205400066Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:44.205400066Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:44.205400066Z,01HVSW0BNQN7QR2P8YT0BER476,2024-04-19T00:29:44.205400066Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:29:44.205400066Z,82,2024-04-19T00:29:55.642204118Z,78,2024-04-19T00:29:55.647890642Z,true,2024-04-19T00:29:55.642915198Z
01HVSW4PCHSQA0EYSV4X7RGH0J,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:44.209641728Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:29:44.209641728Z,01HVSW0BD626EF60FJF96T9KCE,2024-04-19T00:29:44.209641728Z,01HVSW0BNQN7QR2P8YT0BER476,2024-04-19T00:29:44.209641728Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:29:44.209641728Z,0,2024-04-19T00:29:50.546081232Z,50,2024-04-19T00:29:50.505176416Z,true,2024-04-19T00:29:50.545322449Z
01HVSW53KX8K5K64RZMXQRZY8W,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:57.757702738Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:57.757702738Z,01HVSW38A5AX5QK7C5K06E8R17,2024-04-19T00:29:57.757702738Z,01HVSW38HCQSCHB9QW9EWCW46E,2024-04-19T00:29:57.757702738Z,01HVSVTRFBENNBNW910Z5TZWVT,2024-04-19T00:29:57.757702738Z,,,,,,
01HVSW53M32E54BZJS7Y0MP008,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:57.763709587Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:57.763709587Z,01HVSW38A5AX5QK7C5K06E8R17,2024-04-19T00:29:57.763709587Z,01HVSW38HCQSCHB9QW9EWCW46E,2024-04-19T00:29:57.763709587Z,01HVSVVXEFDQCRSJGK8QE1SM3R,2024-04-19T00:29:57.763709587Z,,,,,,
01HVSW53M7J153WM8144HXA9XA,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:57.767449634Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:57.767449634Z,01HVSW38A5AX5QK7C5K06E8R17,2024-04-19T00:29:57.767449634Z,01HVSW38HCQSCHB9QW9EWCW46E,2024-04-19T00:29:57.767449634Z,01HVSVX7B4BX3MDPGXEMRJQQ08,2024-04-19T00:29:57.767449634Z,,,,,,
01HVSW53MDVX43DS7ZBZQHTNEE,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:29:57.773205499Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:29:57.773205499Z,01HVSW38A5AX5QK7C5K06E8R17,2024-04-19T00:29:57.773205499Z,01HVSW38HCQSCHB9QW9EWCW46E,2024-04-19T00:29:57.773205499Z,01HVSVXD50P57KTK8NNBWHE67P,2024-04-19T00:29:57.773205499Z,,,,,,
01HVSW5FRYJBZ88H2DCJQZF652,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:30:10.206598218Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:30:10.206598218Z,01HVSW0BD7ZSJW555MX3VXDKG1,2024-04-19T00:30:10.206598218Z,01HVSW0BNY2TEQME15VH2D7MZ9,2024-04-19T00:30:10.206598218Z,01HVSVMCSVXNDM22Z4GHV1S19C,2024-04-19T00:30:10.206598218Z,,,,,,
01HVSW5FS42CRGR215V7NR0RJM,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:30:10.212167222Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:30:10.212167222Z,01HVSW0BD7ZSJW555MX3VXDKG1,2024-04-19T00:30:10.212167222Z,01HVSW0BNY2TEQME15VH2D7MZ9,2024-04-19T00:30:10.212167222Z,01HVSVTAR4GS8PHW29Z4P4CMY3,2024-04-19T00:30:10.212167222Z,,,,,,
01HVSW5FS8H50A7KXPJX9SNPHE,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:30:10.216556518Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:30:10.216556518Z,01HVSW0BD7ZSJW555MX3VXDKG1,2024-04-19T00:30:10.216556518Z,01HVSW0BNY2TEQME15VH2D7MZ9,2024-04-19T00:30:10.216556518Z,01HVSVVJCJ22SZJC2DP40DMFKW,2024-04-19T00:30:10.216556518Z,,,,,,
01HVSW5FSCWSXWFT8X15TRKK6E,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:30:10.220771097Z,01HVSTV34SHX848TGQM0ZKCK88,2024-04-19T00:30:10.220771097Z,01HVSW0BD7ZSJW555MX3VXDKG1,2024-04-19T00:30:10.220771097Z,01HVSW0BNY2TEQME15VH2D7MZ9,2024-04-19T00:30:10.220771097Z,01HVSVWM43JA8Z1M658C5SD7EG,2024-04-19T00:30:10.220771097Z,,,,,,
01HVSW60YXRFJBM82R3D9PKEBA,01HVSTV34HXYTZQMECRWPQV128,2024-04-19T00:30:27.805617847Z,01HVSTV34SHX848TGQMA43MWTA,2024-04-19T00:30:27.805617847Z,01HVSW38A5AX5QK7C5K06E8R17,2024-04-19T00:30:27.805617847Z,01HVSW38HE1G0NDZE8E9DDW3NS,2024-04-19T00:30:27.805617847Z,01HVSVTRFBENNBNW910Z5TZWVT,2024-04-19T00:30:27.805617847Z,,,,,,
