id,name,nameLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt
01HNDBGA5YNHVCC6YVZK763JA5,Round 1 / 9,2024-01-30T14:13:55.006912489Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.006912489Z,true,2024-01-30T14:14:25.417962256Z,1,2024-01-30T14:13:55.079184345Z,1,2024-01-30T14:13:55.006912489Z,Chat,2024-01-30T14:13:55.006912489Z,0,2024-01-30T14:13:55.006912489Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.006912489Z,true,2024-01-30T14:13:55.139768448Z
01HNDBGA5Z9PJVW3VED7303Y79,Round 5 / 9,2024-01-30T14:13:55.007982648Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.007982648Z,true,2024-01-30T14:15:48.614495107Z,1,2024-01-30T14:13:55.055733155Z,5,2024-01-30T14:13:55.007982648Z,Chat,2024-01-30T14:13:55.007982648Z,4,2024-01-30T14:13:55.007982648Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.007982648Z,true,2024-01-30T14:15:33.721590286Z
01HNDBGA61SCE5GX6TXW1A57HW,Round 7 / 9,2024-01-30T14:13:55.009195223Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.009195223Z,true,2024-01-30T14:16:19.048988952Z,1,2024-01-30T14:13:55.079184345Z,7,2024-01-30T14:13:55.009195223Z,Chat,2024-01-30T14:13:55.009195223Z,6,2024-01-30T14:13:55.009195223Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.009195223Z,true,2024-01-30T14:16:06.477459698Z
01HNDBGA62P9ANQCFJ9C36VM93,Round 6 / 9,2024-01-30T14:13:55.01104671Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.01104671Z,true,2024-01-30T14:16:06.454233438Z,1,2024-01-30T14:13:55.110488806Z,6,2024-01-30T14:13:55.01104671Z,Chat,2024-01-30T14:13:55.01104671Z,5,2024-01-30T14:13:55.01104671Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.01104671Z,true,2024-01-30T14:15:48.635080492Z
01HNDBGA64ZRVV9X4AZ9RBP63Z,Round 8 / 9,2024-01-30T14:13:55.012940048Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.012940048Z,true,2024-01-30T14:16:33.055704619Z,1,2024-01-30T14:13:55.101606493Z,8,2024-01-30T14:13:55.012940048Z,Chat,2024-01-30T14:13:55.012940048Z,7,2024-01-30T14:13:55.012940048Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.012940048Z,true,2024-01-30T14:16:19.068548901Z
01HNDBGA66BSZJ9Z8F1R7W49V0,Round 9 / 9,2024-01-30T14:13:55.014863264Z,01HNDB3Y5G1M5Z6YSEG0D9343K,2024-01-30T14:13:55.014863264Z,true,2024-01-30T14:17:01.46429101Z,1,2024-01-30T14:13:55.100004102Z,9,2024-01-30T14:13:55.014863264Z,Chat,2024-01-30T14:13:55.014863264Z,8,2024-01-30T14:13:55.014863264Z,01HNDB3Y5567ZKBSA8QGT8SQRB,2024-01-30T14:13:55.014863264Z,true,2024-01-30T14:16:33.073533973Z
01HNDBGZQG3E5SV0D87NNSFW0C,Round 2 / 9,2024-01-30T14:14:17.072305128Z,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:14:17.072305128Z,true,2024-01-30T14:16:10.621245584Z,2,2024-01-30T14:14:17.143373394Z,2,2024-01-30T14:14:17.072305128Z,Chat,2024-01-30T14:14:17.072305128Z,1,2024-01-30T14:14:17.072305128Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:14:17.072305128Z,true,2024-01-30T14:15:10.403338452Z
01HNDBGZQH22FBV4Q9RMT28S63,Round 3 / 9,2024-01-30T14:14:17.073821265Z,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:14:17.073821265Z,true,2024-01-30T14:17:10.867131362Z,2,2024-01-30T14:14:17.156069308Z,3,2024-01-30T14:14:17.073821265Z,Chat,2024-01-30T14:14:17.073821265Z,2,2024-01-30T14:14:17.073821265Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:14:17.073821265Z,true,2024-01-30T14:16:10.643330731Z
01HNDBGZQKB7KQPB5QSEEDA24D,Round 1 / 9,2024-01-30T14:14:17.075907166Z,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:14:17.075907166Z,true,2024-01-30T14:15:10.386107838Z,2,2024-01-30T14:14:17.170755557Z,1,2024-01-30T14:14:17.075907166Z,Chat,2024-01-30T14:14:17.075907166Z,0,2024-01-30T14:14:17.075907166Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:14:17.075907166Z,true,2024-01-30T14:14:17.259563088Z
01HNDBGZQNAHFTV134P11N9QR2,Round 4 / 9,2024-01-30T14:14:17.077266931Z,01HNDB3XTRMS2GR15H7G3EFQWY,2024-01-30T14:14:17.077266931Z,true,2024-01-30T14:18:11.204901399Z,2,2024-01-30T14:14:17.189490492Z,4,2024-01-30T14:14:17.077266931Z,Chat,2024-01-30T14:14:17.077266931Z,3,2024-01-30T14:14:17.077266931Z,01HNDB3XT775V20QG3EE6AAZMS,2024-01-30T14:14:17.077266931Z,true,2024-01-30T14:17:10.886017207Z
