id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt
01HNDDAYMNZERE7V598AKQT2DG,01HNDD898JWC19V3FG0YG5M8MG,2024-01-30T14:45:56.501264282Z,01HNDD7HF5Y7597Q7RV8DDPP9B,2024-01-30T14:45:56.501264282Z,32,2024-01-30T14:46:07.263313474Z,true,2024-01-30T14:46:07.270761804Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:56.501264282Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:45:56.501264282Z,01HNDD89604B2R58973XT8YEVS,2024-01-30T14:45:56.501264282Z
01HNDDAYMQD88V1GH0Q0VD032Y,01HNDD898JWC19V3FG0YG5M8MG,2024-01-30T14:45:56.503490878Z,01HNDD7HD6J9S6RBZRF9SC8XBZ,2024-01-30T14:45:56.503490878Z,23,2024-01-30T14:46:02.425619496Z,true,2024-01-30T14:46:02.422518578Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:45:56.503490878Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:45:56.503490878Z,01HNDD89604B2R58973XT8YEVS,2024-01-30T14:45:56.503490878Z
01HNDDB981ZAATQ2AB15WC2Q9J,01HNDD89BAF7BWFD0ZBGJYQX3J,2024-01-30T14:46:07.361380884Z,01HNDD7HD6J9S6RBZRF9SC8XBZ,2024-01-30T14:46:07.361380884Z,27,2024-01-30T14:46:12.840917446Z,true,2024-01-30T14:46:12.842075884Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:07.361380884Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:46:07.361380884Z,01HNDD89604B2R58974G3CKXS1,2024-01-30T14:46:07.361380884Z
01HNDDB9823FXPSPGX3B4E7S1J,01HNDD89BAF7BWFD0ZBGJYQX3J,2024-01-30T14:46:07.362850765Z,01HNDD7GW14FYRCSXZ1M9VB29Y,2024-01-30T14:46:07.362850765Z,12,2024-01-30T14:46:12.969295877Z,true,2024-01-30T14:46:12.972425907Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:07.362850765Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:46:07.362850765Z,01HNDD89604B2R58974G3CKXS1,2024-01-30T14:46:07.362850765Z
01HNDDB984G5T9QQNZ5Z1N7CC8,01HNDD89BAF7BWFD0ZBGJYQX3J,2024-01-30T14:46:07.364514104Z,01HNDD7MN4T1GFS9DPR5PM3T1K,2024-01-30T14:46:07.364514104Z,20,2024-01-30T14:46:10.858357511Z,true,2024-01-30T14:46:10.859833051Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:07.364514104Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:46:07.364514104Z,01HNDD89604B2R58974G3CKXS1,2024-01-30T14:46:07.364514104Z
01HNDDB985SYNFG1A4APSAES4N,01HNDD89BAF7BWFD0ZBGJYQX3J,2024-01-30T14:46:07.365557608Z,01HNDD7HF5Y7597Q7RV8DDPP9B,2024-01-30T14:46:07.365557608Z,20,2024-01-30T14:46:15.235601535Z,true,2024-01-30T14:46:15.239258582Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:07.365557608Z,01HNDD7AZY23WCQMN4GZSP230E,2024-01-30T14:46:07.365557608Z,01HNDD89604B2R58974G3CKXS1,2024-01-30T14:46:07.365557608Z
01HNDDBEKJ2ACC4AZ2WEH45PV3,01HNDDAH03F0DCXNR2HZD13YAV,2024-01-30T14:46:12.85056717Z,01HNDD7GSTBCP5G8NMPDW7TYVK,2024-01-30T14:46:12.85056717Z,15,2024-01-30T14:46:23.047196132Z,true,2024-01-30T14:46:23.051716503Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:12.85056717Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:46:12.85056717Z,01HNDDAGY8TH246PPMPEQG6Z02,2024-01-30T14:46:12.85056717Z
01HNDDBEKKTYY759KW5TDWANWX,01HNDDAH03F0DCXNR2HZD13YAV,2024-01-30T14:46:12.851912372Z,01HNDD7K31VFMZB9KAXG9MPVQJ,2024-01-30T14:46:12.851912372Z,60,2024-01-30T14:46:35.189194104Z,true,2024-01-30T14:46:35.192893581Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:12.851912372Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:46:12.851912372Z,01HNDDAGY8TH246PPMPEQG6Z02,2024-01-30T14:46:12.851912372Z
01HNDDBEKMGNWMXXGZ86229FA9,01HNDDAH03F0DCXNR2HZD13YAV,2024-01-30T14:46:12.852999037Z,01HNDD83HFM2TJ0B66MCZBQ5ZH,2024-01-30T14:46:12.852999037Z,50,2024-01-30T14:46:22.526460707Z,true,2024-01-30T14:46:22.529244508Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:12.852999037Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:46:12.852999037Z,01HNDDAGY8TH246PPMPEQG6Z02,2024-01-30T14:46:12.852999037Z
01HNDDBEKP5CXC07R1PPNBXPRF,01HNDDAH03F0DCXNR2HZD13YAV,2024-01-30T14:46:12.85419845Z,01HNDD8AGKW8Z1BRD69BWD09TP,2024-01-30T14:46:12.85419845Z,18,2024-01-30T14:46:26.22845457Z,true,2024-01-30T14:46:26.226341698Z,01HNDD7AZ71N8E9Q8R5MXCW09X,2024-01-30T14:46:12.85419845Z,01HNDD7AZXPA9QVBYN9RJC9KCG,2024-01-30T14:46:12.85419845Z,01HNDDAGY8TH246PPMPEQG6Z02,2024-01-30T14:46:12.85419845Z
01HNDDBPJ1V1NXJV6MT85F2PVY,01HNDDBPBN7G87STK0C6BGJ1VH,2024-01-30T14:46:20.99342541Z,01HNDD7HCA6DPZ72KTFRTFY2JG,2024-01-30T14:46:20.99342541Z,50,2024-01-30T14:46:37.357403707Z,true,2024-01-30T14:46:37.421973628Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.99342541Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.99342541Z,01HNDDBP9CW3XXYB4KW1HPJG48,2024-01-30T14:46:20.99342541Z
01HNDDBPJ3YFQC1DPKXB9WATTF,01HNDDBPBN7G87STK0C6BGJ1VH,2024-01-30T14:46:20.995847116Z,01HNDD7KXFWK8JSWWN1WY5Z78R,2024-01-30T14:46:20.995847116Z,,,,,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.995847116Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.995847116Z,01HNDDBP9CW3XXYB4KW1HPJG48,2024-01-30T14:46:20.995847116Z
01HNDDBPJ54CVT2R9ZACDJ9RC6,01HNDDBPBN7G87STK0C6BGJ1VH,2024-01-30T14:46:20.997332734Z,01HNDD7TJSZCZ76QAF15HC2NFK,2024-01-30T14:46:20.997332734Z,50,2024-01-30T14:46:48.640232216Z,true,2024-01-30T14:46:48.644590798Z,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.997332734Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.997332734Z,01HNDDBP9CW3XXYB4KW1HPJG48,2024-01-30T14:46:20.997332734Z
01HNDDBPJ6TNNFTB29F90DHGHK,01HNDDBPBN7G87STK0C6BGJ1VH,2024-01-30T14:46:20.998588239Z,01HNDD82Z1QZ8SGRSDSFKHHD34,2024-01-30T14:46:20.998588239Z,,,,,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:20.998588239Z,01HNDD7CMVS1E9XVTQV0PC5GFG,2024-01-30T14:46:20.998588239Z,01HNDDBP9CW3XXYB4KW1HPJG48,2024-01-30T14:46:20.998588239Z
01HNDDC49WM650H9PCT65P5EC0,01HNDDC42N9SGB5YT7WYF7RRNS,2024-01-30T14:46:35.068766171Z,01HNDD85BD6T9C7DVY58TQ9C2Q,2024-01-30T14:46:35.068766171Z,,,,,01HNDD7CMER0D7FW6SZ6T050B6,2024-01-30T14:46:35.068766171Z,01HNDD7CMS7PTDB7KKD18WWK2H,2024-01-30T14:46:35.068766171Z,01HNDDC3ZFRMSA1VY15Q9WDC4A,2024-01-30T14:46:35.068766171Z
