id,ended,endedLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,task,taskLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt
01HW3PSHZRZQ0GV1DB2C33JQ2R,true,2024-04-22T20:09:41.295429186Z,1,2024-04-22T20:08:40.696172657Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.696172657Z,Chat,2024-04-22T20:08:40.696172657Z,1,2024-04-22T20:08:40.768132096Z,Round 2 / 12,2024-04-22T20:08:40.696172657Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.696172657Z,true,2024-04-22T20:09:11.1791277Z,2,2024-04-22T20:08:40.696172657Z
01HW3PSHZRZQ0GV1DB2W96FJZ2,true,2024-04-22T20:10:44.436712736Z,5,2024-04-22T20:08:40.696969771Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.696969771Z,Chat,2024-04-22T20:08:40.696969771Z,1,2024-04-22T20:08:40.805156124Z,Round 6 / 12,2024-04-22T20:08:40.696969771Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.696969771Z,true,2024-04-22T20:10:25.478020077Z,6,2024-04-22T20:08:40.696969771Z
01HW3PSHZSV0SJ99Q338TH15G4,true,2024-04-22T20:11:33.472173047Z,8,2024-04-22T20:08:40.697967524Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.697967524Z,Chat,2024-04-22T20:08:40.697967524Z,1,2024-04-22T20:08:40.927670477Z,Round 9 / 12,2024-04-22T20:08:40.697967524Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.697967524Z,true,2024-04-22T20:11:17.886344831Z,9,2024-04-22T20:08:40.697967524Z
01HW3PSHZTWW0XS411ZQESZH4Z,true,2024-04-22T20:11:17.876112096Z,7,2024-04-22T20:08:40.698766205Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.698766205Z,Chat,2024-04-22T20:08:40.698766205Z,1,2024-04-22T20:08:40.777983846Z,Round 8 / 12,2024-04-22T20:08:40.698766205Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.698766205Z,true,2024-04-22T20:11:05.480474017Z,8,2024-04-22T20:08:40.698766205Z
01HW3PSHZVP50XNPEH7CRRD11Q,true,2024-04-22T20:11:45.801719597Z,9,2024-04-22T20:08:40.699484148Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.699484148Z,Chat,2024-04-22T20:08:40.699484148Z,1,2024-04-22T20:08:40.816533612Z,Round 10 / 12,2024-04-22T20:08:40.699484148Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.699484148Z,true,2024-04-22T20:11:33.482209624Z,10,2024-04-22T20:08:40.699484148Z
01HW3PSHZWE95G629W3KJDA0HX,true,2024-04-22T20:12:00.039360096Z,10,2024-04-22T20:08:40.700215205Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.700215205Z,Chat,2024-04-22T20:08:40.700215205Z,1,2024-04-22T20:08:40.816533612Z,Round 11 / 12,2024-04-22T20:08:40.700215205Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.700215205Z,true,2024-04-22T20:11:45.81612243Z,11,2024-04-22T20:08:40.700215205Z
01HW3PSHZWE95G629W45SBZYG5,true,2024-04-22T20:11:05.469240419Z,6,2024-04-22T20:08:40.700895019Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.700895019Z,Chat,2024-04-22T20:08:40.700895019Z,1,2024-04-22T20:08:40.816533612Z,Round 7 / 12,2024-04-22T20:08:40.700895019Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.700895019Z,true,2024-04-22T20:10:44.451461248Z,7,2024-04-22T20:08:40.700895019Z
01HW3PSJ00CY1418MKQ1FTBGJC,true,2024-04-22T20:12:15.668200715Z,11,2024-04-22T20:08:40.704572959Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.704572959Z,Chat,2024-04-22T20:08:40.704572959Z,1,2024-04-22T20:08:40.924819524Z,Round 12 / 12,2024-04-22T20:08:40.704572959Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.704572959Z,true,2024-04-22T20:12:00.050974254Z,12,2024-04-22T20:08:40.704572959Z
01HW3PSJ018C9FA74C82KM9NZR,true,2024-04-22T20:10:25.467511667Z,4,2024-04-22T20:08:40.705044256Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.705044256Z,Chat,2024-04-22T20:08:40.705044256Z,1,2024-04-22T20:08:40.924819524Z,Round 5 / 12,2024-04-22T20:08:40.705044256Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.705044256Z,true,2024-04-22T20:10:13.262114535Z,5,2024-04-22T20:08:40.705044256Z
01HW3PX9CXQ4SVTCZZQ9HPKVV7,true,2024-04-22T20:11:13.454554031Z,0,2024-04-22T20:10:42.97377802Z,01HW3P144W8XP2A8F4CWWHDNRK,2024-04-22T20:10:42.97377802Z,Chat,2024-04-22T20:10:42.97377802Z,1,2024-04-22T20:10:43.088712546Z,Round 1 / 12,2024-04-22T20:10:42.97377802Z,01HW3P14566GAGD7QQT89CRJ3R,2024-04-22T20:10:42.97377802Z,true,2024-04-22T20:10:43.096112029Z,1,2024-04-22T20:10:42.97377802Z
