id,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,initialized,initializedLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HW3PKXS4X3EZF2E2NAF095CP,observe,2024-04-22T20:05:36.164397973Z,true,2024-04-22T20:08:20.40593032Z,true,2024-04-22T20:08:35.736916048Z,01HW3PKXP9CCW6QS4KRHQDHPTW,2024-04-22T20:05:36.164397973Z,01HW3PKXR62C60F128Q4643EPR,2024-04-22T20:05:36.164397973Z,0,2024-04-22T20:05:36.164397973Z,30,2024-04-22T20:05:36.164397973Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.164397973Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.164397973Z,true,2024-04-22T20:08:20.435862075Z,true,2024-04-22T20:08:20.448945059Z,,,,
01HW3PKXS7RZ8EQ17DD0DW76YP,observe,2024-04-22T20:05:36.167915736Z,true,2024-04-22T20:08:35.823156235Z,true,2024-04-22T20:08:54.626780361Z,01HW3PKXPARV8ZPZE2WFF1KXDS,2024-04-22T20:05:36.167915736Z,01HW3PKXR62C60F128QAABKCD4,2024-04-22T20:05:36.167915736Z,0,2024-04-22T20:05:36.167915736Z,30,2024-04-22T20:05:36.167915736Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.167915736Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.167915736Z,true,2024-04-22T20:08:35.852271236Z,true,2024-04-22T20:08:35.863681531Z,,,,
01HW3PKXSA21602PYQM288C5X0,observe,2024-04-22T20:05:36.170268525Z,true,2024-04-22T20:09:12.801797999Z,true,2024-04-22T20:09:24.480938681Z,01HW3PKXPBR28CVXC46JSMP775,2024-04-22T20:05:36.170268525Z,01HW3PKXR62C60F128QFRKJDV5,2024-04-22T20:05:36.170268525Z,0,2024-04-22T20:05:36.170268525Z,30,2024-04-22T20:05:36.170268525Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.170268525Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.170268525Z,true,2024-04-22T20:09:12.830956155Z,true,2024-04-22T20:09:12.841649981Z,,,,
01HW3PKXSDCS87K98WEZ56WNC7,observe,2024-04-22T20:05:36.173254699Z,true,2024-04-22T20:08:54.714873625Z,true,2024-04-22T20:09:12.732995991Z,01HW3PKXPBR28CVXC474KG71D4,2024-04-22T20:05:36.173254699Z,01HW3PKXR62C60F128QKG2BPHM,2024-04-22T20:05:36.173254699Z,0,2024-04-22T20:05:36.173254699Z,30,2024-04-22T20:05:36.173254699Z,01HW3P6XB34VZ4RBNTRNYTSSYK,2024-04-22T20:05:36.173254699Z,01HW3P6XAHCHRJHRVFA1MMT5CK,2024-04-22T20:05:36.173254699Z,true,2024-04-22T20:08:54.77288112Z,true,2024-04-22T20:08:54.794811854Z,,,,
01HW3PSJ1D6JEV3NZ4YNN4YZY7,observe,2024-04-22T20:08:40.749623709Z,true,2024-04-22T20:09:11.23061799Z,true,2024-04-22T20:09:41.278765059Z,01HW3PSHZRZQ0GV1DB2C33JQ2R,2024-04-22T20:08:40.749623709Z,01HW3PSJ0AKYGE0V7TSQ2HXTJ4,2024-04-22T20:08:40.749623709Z,0,2024-04-22T20:08:40.749623709Z,30,2024-04-22T20:08:40.749623709Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.749623709Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.749623709Z,true,2024-04-22T20:09:11.260916701Z,true,2024-04-22T20:09:11.275834905Z,,,,
01HW3PSJ1F4XH2EYFA5ZVXT2EE,observe,2024-04-22T20:08:40.751125711Z,true,2024-04-22T20:09:53.852815341Z,true,2024-04-22T20:10:13.234144667Z,01HW3PSHZPEGD6YKB6JQ24EKTJ,2024-04-22T20:08:40.751125711Z,01HW3PSJ0AKYGE0V7TSSYGEJCV,2024-04-22T20:08:40.751125711Z,0,2024-04-22T20:08:40.751125711Z,30,2024-04-22T20:08:40.751125711Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.751125711Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.751125711Z,true,2024-04-22T20:09:53.893390124Z,true,2024-04-22T20:09:53.907861731Z,,,,
01HW3PSJ2986W0FR93VG15ZZFM,observe,2024-04-22T20:08:40.77728726Z,true,2024-04-22T20:11:05.527448683Z,true,2024-04-22T20:11:17.864791564Z,01HW3PSHZTWW0XS411ZQESZH4Z,2024-04-22T20:08:40.77728726Z,01HW3PSJ23J4MD8C7WT9B5ZRAP,2024-04-22T20:08:40.77728726Z,0,2024-04-22T20:08:40.77728726Z,30,2024-04-22T20:08:40.77728726Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.77728726Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.77728726Z,true,2024-04-22T20:11:05.563061853Z,true,2024-04-22T20:11:05.577907496Z,,,,
01HW3PSJ2CR58Y9ZTZDM943Q1S,observe,2024-04-22T20:08:40.780123409Z,true,2024-04-22T20:08:41.103350175Z,true,2024-04-22T20:09:11.154355123Z,01HW3PSHZQK7NB32AX1PWHB23T,2024-04-22T20:08:40.780123409Z,01HW3PSJ1KB0FD6XJNR4MY53VQ,2024-04-22T20:08:40.780123409Z,0,2024-04-22T20:08:40.780123409Z,30,2024-04-22T20:08:40.780123409Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.780123409Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.780123409Z,true,2024-04-22T20:08:41.137361251Z,true,2024-04-22T20:08:41.148127073Z,,,,
01HW3PSJ2ZRSFE376PZPRSEHGC,observe,2024-04-22T20:08:40.7992382Z,true,2024-04-22T20:09:41.348492227Z,true,2024-04-22T20:09:53.780349856Z,01HW3PSHZPEGD6YKB6J5KPRSD5,2024-04-22T20:08:40.7992382Z,01HW3PSJ24DJCTYHC2X0TBHTBQ,2024-04-22T20:08:40.7992382Z,0,2024-04-22T20:08:40.7992382Z,30,2024-04-22T20:08:40.7992382Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.7992382Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.7992382Z,true,2024-04-22T20:09:41.379003684Z,true,2024-04-22T20:09:41.389988362Z,,,,
01HW3PSJ34C98C96WZM1R6JEW1,observe,2024-04-22T20:08:40.804370684Z,true,2024-04-22T20:10:25.526878441Z,true,2024-04-22T20:10:44.424596317Z,01HW3PSHZRZQ0GV1DB2W96FJZ2,2024-04-22T20:08:40.804370684Z,01HW3PSJ24DJCTYHC2X3R2AVPG,2024-04-22T20:08:40.804370684Z,0,2024-04-22T20:08:40.804370684Z,30,2024-04-22T20:08:40.804370684Z,01HW3PE9R68Y9AQWRWZPQZD4JK,2024-04-22T20:08:40.804370684Z,01HW3PE9QTEKARXDQWMQZCY713,2024-04-22T20:08:40.804370684Z,true,2024-04-22T20:10:25.563547595Z,true,2024-04-22T20:10:25.578705027Z,,,,
