gameID,players,total_nRabbits,total_nSquirrels,mleGame,total_nCritters,entropy,representation
7,"[{""playerID"": 28, ""nRabbits"": 11, ""nSquirrels"": 2}, {""playerID"": 28, ""nRabbits"": 0, ""nSquirrels"": 2}, {""playerID"": 28, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 28, ""nRabbits"": 17, ""nSquirrels"": 13}]",31,17,0.6458333333333334,48,0.6499878819913241,0.31987179487179485
8,"[{""playerID"": 29, ""nRabbits"": 4, ""nSquirrels"": 1}, {""playerID"": 29, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 29, ""nRabbits"": 5, ""nSquirrels"": 1}, {""playerID"": 29, ""nRabbits"": 4, ""nSquirrels"": 0}]",14,2,0.875,16,0.37677016125643675,0.09166666666666665
8,"[{""playerID"": 30, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 30, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 30, ""nRabbits"": 3, ""nSquirrels"": 1}, {""playerID"": 30, ""nRabbits"": 8, ""nSquirrels"": 3}]",13,5,0.7222222222222222,18,0.5908422462755826,0.13320707070707072
8,"[{""playerID"": 31, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 31, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 31, ""nRabbits"": 1, ""nSquirrels"": 3}, {""playerID"": 31, ""nRabbits"": 4, ""nSquirrels"": 5}]",8,9,0.47058823529411764,17,0.6914160776171183,0.24305555555555555
8,"[{""playerID"": 32, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 32, ""nRabbits"": 6, ""nSquirrels"": 7}, {""playerID"": 32, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 32, ""nRabbits"": 2, ""nSquirrels"": 2}]",11,10,0.5238095238095238,21,0.6920129648318738,0.14652014652014653
9,"[{""playerID"": 33, ""nRabbits"": 3, ""nSquirrels"": 0}, {""playerID"": 33, ""nRabbits"": 4, ""nSquirrels"": 2}, {""playerID"": 33, ""nRabbits"": 1, ""nSquirrels"": 2}, {""playerID"": 33, ""nRabbits"": 1, ""nSquirrels"": 1}]",9,5,0.6428571428571429,14,0.6517565611726531,0.20833333333333334
9,"[{""playerID"": 34, ""nRabbits"": 14, ""nSquirrels"": 1}, {""playerID"": 34, ""nRabbits"": 10, ""nSquirrels"": 3}, {""playerID"": 34, ""nRabbits"": 26, ""nSquirrels"": 0}, {""playerID"": 34, ""nRabbits"": 3, ""nSquirrels"": 1}]",53,5,0.9137931034482759,58,0.2936729936424028,0.10352564102564102
9,"[{""playerID"": 35, ""nRabbits"": 1, ""nSquirrels"": 0}, {""playerID"": 35, ""nRabbits"": 7, ""nSquirrels"": 2}, {""playerID"": 35, ""nRabbits"": 0, ""nSquirrels"": 1}, {""playerID"": 35, ""nRabbits"": 9, ""nSquirrels"": 1}]",17,4,0.8095238095238095,21,0.48691270946460224,0.28055555555555556
9,"[{""playerID"": 36, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 36, ""nRabbits"": 5, ""nSquirrels"": 0}, {""playerID"": 36, ""nRabbits"": 2, ""nSquirrels"": 1}, {""playerID"": 36, ""nRabbits"": 4, ""nSquirrels"": 0}]",13,2,0.8666666666666667,15,0.39267446722755217,0.16666666666666669
10,"[{""playerID"": 37, ""nRabbits"": 3, ""nSquirrels"": 1}, {""playerID"": 37, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 37, ""nRabbits"": 2, ""nSquirrels"": 0}, {""playerID"": 37, ""nRabbits"": 1, ""nSquirrels"": 1}]",7,3,0.7,10,0.6108643020548935,0.1875
10,"[{""playerID"": 38, ""nRabbits"": 3, ""nSquirrels"": 2}, {""playerID"": 38, ""nRabbits"": 1, ""nSquirrels"": 1}, {""playerID"": 38, ""nRabbits"": 5, ""nSquirrels"": 4}, {""playerID"": 38, ""nRabbits"": 4, ""nSquirrels"": 3}]",13,10,0.5652173913043478,23,0.6846162778013047,0.02896825396825395
