id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JD3HG125CRS8F1VG4E630FSX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T01:02:56.581547722Z,,,true,2024-11-20T01:02:56.658567022Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T01:02:56.581547722Z,created,2024-11-20T01:02:56.581547722Z
01JD3HG1WFV98TTGZ5Z04MSHYP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T01:02:57.42350107Z,,,true,2024-11-20T01:02:57.59134237Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T01:02:57.42350107Z,terminated,2024-11-20T01:22:33.698769253Z
01JD3D1RFFH3JHJQ8XS2GXZA26,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:45:14.735777976Z,all games finished,2024-11-20T00:06:33.157384911Z,true,2024-11-19T23:45:14.747446177Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:45:14.735777976Z,ended,2024-11-20T00:06:33.157384911Z
01JD3D1SPC04V3F559VERF859M,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:45:15.980366189Z,all games finished,2024-11-20T00:03:41.077995223Z,true,2024-11-19T23:45:15.990152529Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:45:15.980366189Z,ended,2024-11-20T00:03:41.077995223Z
01JD3D1V86TYRQBACHFCWC376E,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:45:17.575788316Z,all games finished,2024-11-20T00:10:31.869799132Z,true,2024-11-19T23:45:17.589791454Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:45:17.575788316Z,ended,2024-11-20T00:10:31.869799132Z
01JD3DPPH88YH387VTJ49WN7A3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:56:40.872563486Z,,,true,2024-11-19T23:56:40.888551108Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:56:40.872563486Z,created,2024-11-19T23:56:40.872563486Z
01JD3F42CKPJXBJ1NMQHKW661T,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:21:27.571645078Z,all games finished,2024-11-20T00:37:43.108665834Z,true,2024-11-20T00:21:27.597835381Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:21:27.571645078Z,ended,2024-11-20T00:37:43.108665834Z
01JD3GVZRP4AW08WGECTQ463B1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:51:59.894137552Z,all games finished,2024-11-20T01:12:20.607573106Z,true,2024-11-20T00:51:59.985148792Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:51:59.894137552Z,ended,2024-11-20T01:12:20.607573106Z
01JD3DPT3FMY5G1Z70YRBCC44Q,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:56:44.527049816Z,all games finished,2024-11-20T00:16:33.428705341Z,true,2024-11-19T23:56:44.538461893Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:56:44.527049816Z,ended,2024-11-20T00:16:33.428705341Z
01JD3DPV7WZKBMXHWW312RECQX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-19T23:56:45.692597467Z,all games finished,2024-11-20T00:19:58.081656753Z,true,2024-11-19T23:56:45.701353476Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-19T23:56:45.692597467Z,ended,2024-11-20T00:19:58.081656753Z
01JD3E7GK1D8JGPTX1EZRMTDXQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:05:51.841673837Z,all games finished,2024-11-20T00:32:15.401597395Z,true,2024-11-20T00:05:51.855982032Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:05:51.841673837Z,ended,2024-11-20T00:32:15.401597395Z
01JD3E7H93GPWD1APRME8Z12BR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:05:52.547672019Z,all games finished,2024-11-20T00:29:15.475512925Z,true,2024-11-20T00:05:52.560953903Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:05:52.547672019Z,ended,2024-11-20T00:29:15.475512925Z
01JD3F43WH46PSBAZGXXQM33JB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:21:29.105538392Z,,,true,2024-11-20T00:21:29.126982319Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:21:29.105538392Z,terminated,2024-11-20T00:33:08.586209259Z
01JD3FQ4J056Y3XTZN8RF3TAQB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:31:52.384759722Z,all games finished,2024-11-20T00:50:29.873234146Z,true,2024-11-20T00:31:52.419546098Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:31:52.384759722Z,ended,2024-11-20T00:50:29.873234146Z
01JD3E7HY3WNMPEXGNMG3W3FHR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:05:53.219384429Z,all games finished,2024-11-20T00:23:29.602753157Z,true,2024-11-20T00:05:53.235389631Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:05:53.219384429Z,ended,2024-11-20T00:23:29.602753157Z
01JD3E7JHPRTB40HWDQ4DKMJ18,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:05:53.846818527Z,,,true,2024-11-20T00:05:53.859414033Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:05:53.846818527Z,terminated,2024-11-20T00:15:20.295426555Z
01JD3FQ429JN3B4TBSWQXTVMXC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:31:51.881377668Z,all games finished,2024-11-20T00:53:40.145627592Z,true,2024-11-20T00:31:51.904125297Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:31:51.881377668Z,ended,2024-11-20T00:53:40.145627592Z
01JD3GVY9E9XX5X5JYNGVSB3VT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T00:51:58.382905453Z,,,true,2024-11-20T00:51:58.432978841Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T00:51:58.382905453Z,created,2024-11-20T00:51:58.382905453Z
01JD3HPJVP17H5ZEFW5VDVDGMW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""RS_interactive"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""sliderDirection"":""RabbitsSquirrels""}},""count"":1}]}}",2024-11-20T01:06:31.4144605Z,all games finished,2024-11-20T01:19:13.483207623Z,true,2024-11-20T01:06:31.549798496Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-11-20T01:06:31.4144605Z,ended,2024-11-20T01:19:13.483207623Z
