id,ended,endedLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt
01HW3CNXNPYBMGY3X29VVB17F9,true,2024-04-22T17:20:32.758215113Z,10,2024-04-22T17:11:55.830196488Z,9,2024-04-22T17:11:55.830196488Z,true,2024-04-22T17:19:42.360314747Z,2,2024-04-22T17:11:56.043980586Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.830196488Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.830196488Z,Round 10 / 12,2024-04-22T17:11:55.830196488Z,Chat,2024-04-22T17:11:55.830196488Z
01HW3CNXNPYBMGY3X2ADWABSB8,true,2024-04-22T17:21:23.351455712Z,11,2024-04-22T17:11:55.830659411Z,10,2024-04-22T17:11:55.830659411Z,true,2024-04-22T17:20:32.770639464Z,2,2024-04-22T17:11:56.043980586Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.830659411Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.830659411Z,Round 11 / 12,2024-04-22T17:11:55.830659411Z,Chat,2024-04-22T17:11:55.830659411Z
01HW3CNXNQ88CJK9CSM3JBWAC7,true,2024-04-22T17:22:10.259517075Z,12,2024-04-22T17:11:55.831047712Z,11,2024-04-22T17:11:55.831047712Z,true,2024-04-22T17:21:23.362066232Z,2,2024-04-22T17:11:56.067728524Z,01HW3C24S21EFF24GE59F8748N,2024-04-22T17:11:55.831047712Z,01HW3C24RRQF0727NQP4E2WMP0,2024-04-22T17:11:55.831047712Z,Round 12 / 12,2024-04-22T17:11:55.831047712Z,Chat,2024-04-22T17:11:55.831047712Z
01HW3DPGFA4PPB3R5KXNNMQ6PK,true,2024-04-22T17:30:44.43752904Z,1,2024-04-22T17:29:43.658114952Z,0,2024-04-22T17:29:43.658114952Z,true,2024-04-22T17:29:43.894572237Z,2,2024-04-22T17:29:43.757907453Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.658114952Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.658114952Z,Round 1 / 12,2024-04-22T17:29:43.658114952Z,Chat,2024-04-22T17:29:43.658114952Z
01HW3DPGFR2WPWS9TPZKK7F3D8,true,2024-04-22T17:31:44.626950522Z,2,2024-04-22T17:29:43.672680887Z,1,2024-04-22T17:29:43.672680887Z,true,2024-04-22T17:30:44.449933599Z,2,2024-04-22T17:29:43.820242551Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.672680887Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.672680887Z,Round 2 / 12,2024-04-22T17:29:43.672680887Z,Chat,2024-04-22T17:29:43.672680887Z
01HW3DPGFVEY253DMPBEPZKERP,true,2024-04-22T17:32:44.843498723Z,3,2024-04-22T17:29:43.675165579Z,2,2024-04-22T17:29:43.675165579Z,true,2024-04-22T17:31:44.646252435Z,2,2024-04-22T17:29:43.848787238Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.675165579Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.675165579Z,Round 3 / 12,2024-04-22T17:29:43.675165579Z,Chat,2024-04-22T17:29:43.675165579Z
01HW3DPGFW6S6B9PMHS5GAKKP1,true,2024-04-22T17:33:45.075364347Z,4,2024-04-22T17:29:43.676438266Z,3,2024-04-22T17:29:43.676438266Z,true,2024-04-22T17:32:44.857380802Z,2,2024-04-22T17:29:43.971132432Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.676438266Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.676438266Z,Round 4 / 12,2024-04-22T17:29:43.676438266Z,Chat,2024-04-22T17:29:43.676438266Z
01HW3DPGFY7J4K73YD08A8NMRE,true,2024-04-22T17:39:26.040510847Z,10,2024-04-22T17:29:43.678862182Z,9,2024-04-22T17:29:43.678862182Z,true,2024-04-22T17:38:25.799449435Z,2,2024-04-22T17:29:43.823290144Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.678862182Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.678862182Z,Round 10 / 12,2024-04-22T17:29:43.678862182Z,Chat,2024-04-22T17:29:43.678862182Z
01HW3DPGFZEBNJZ8BEWCYRHV2J,true,2024-04-22T17:34:45.267393396Z,5,2024-04-22T17:29:43.679824734Z,4,2024-04-22T17:29:43.679824734Z,true,2024-04-22T17:33:45.088683154Z,2,2024-04-22T17:29:43.757907453Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.679824734Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.679824734Z,Round 5 / 12,2024-04-22T17:29:43.679824734Z,Chat,2024-04-22T17:29:43.679824734Z
01HW3DPGG0GB3YNV5VM44JQA3B,true,2024-04-22T17:40:14.490009829Z,11,2024-04-22T17:29:43.680530677Z,10,2024-04-22T17:29:43.680530677Z,true,2024-04-22T17:39:26.056438519Z,2,2024-04-22T17:29:43.848787238Z,01HW3D40ZWG9YJGV30X9RFTN8K,2024-04-22T17:29:43.680530677Z,01HW3D40ZC29VG1GVMJAXAT2XG,2024-04-22T17:29:43.680530677Z,Round 11 / 12,2024-04-22T17:29:43.680530677Z,Chat,2024-04-22T17:29:43.680530677Z
