id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HVSDNW9M5BT1AWWF1TV0NWB8,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.676547702Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:16:58.676547702Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.676547702Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.676547702Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.676547702Z,,,,,,
01HVSDNW9R9R6XZFAPXD0AJZ2P,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.680803437Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:16:58.680803437Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.680803437Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.680803437Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.680803437Z,true,2024-04-18T20:17:07.966792032Z,15,2024-04-18T20:17:07.967577348Z,69,2024-04-18T20:17:07.965030559Z
01HVSDNW9WB5ES9F5G8HZAQ8GT,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.685018527Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:16:58.685018527Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.685018527Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.685018527Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.685018527Z,,,,,,
01HVSDNWA1R0NJRHKBSA0TJ95J,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.689819992Z,01HVSDF9Q1NX6M632F4ZAVKFWB,2024-04-18T20:16:58.689819992Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.689819992Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.689819992Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.689819992Z,,,,,,
01HVSDNWA6PY0EHZN2XR0XCWPE,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.694764179Z,01HVSDH7FFYJD4H2DBWBVBKHTP,2024-04-18T20:16:58.694764179Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.694764179Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.694764179Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.694764179Z,,,,,,
01HVSDNWABGNJGEHRD97NXCVZ6,01HVSDK3KS4JDPP0TZ49MD7KF9,2024-04-18T20:16:58.69966462Z,01HVSDHQ73RYFKPTX7RHFHAKF2,2024-04-18T20:16:58.69966462Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:16:58.69966462Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:16:58.69966462Z,01HVSDK3D1AW60E0GWZ0NZ7MD2,2024-04-18T20:16:58.69966462Z,,,,,,
01HVSDPGE5N3TZJKM008Y5K6SV,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.301868597Z,01HVSD7680PC7Q6NKVJ6MGHZQ3,2024-04-18T20:17:19.301868597Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.301868597Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.301868597Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.301868597Z,,,,,,
01HVSDPGEC5HRG1WTT7ZEM4598,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.308215641Z,01HVSD7KNMTR3G9EX8AFBR0XS0,2024-04-18T20:17:19.308215641Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.308215641Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.308215641Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.308215641Z,,,,,,
01HVSDPGEK82R6Q4JYGR3YSK16,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.315192192Z,01HVSDCK79AC5R26CR9ZT9WRC0,2024-04-18T20:17:19.315192192Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.315192192Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.315192192Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.315192192Z,,,,,,
01HVSDPGESJZJVECX1AW3114HE,01HVSDK3H295YTSWRFJDC36NAG,2024-04-18T20:17:19.321592579Z,01HVSDEP9426S7Y9TDP0DD75DT,2024-04-18T20:17:19.321592579Z,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:17:19.321592579Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:17:19.321592579Z,01HVSDK3D2QCPB0ESWSE9K4GNS,2024-04-18T20:17:19.321592579Z,,,,,,
