id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01JDARTDSSF3VM07CT57VX8YRF,01JDAPW0A15A6WQC98MAZ6VKEK,2024-11-22T20:25:38.361606834Z,true,2024-11-22T20:36:28.230309813Z,01JDAPW1PTK9GRH1GYH0JYDWW3,2024-11-22T20:25:38.361606834Z,8,2024-11-22T20:25:38.361606834Z,7,2024-11-22T20:25:38.361606834Z,Round 8 / 8,2024-11-22T20:25:38.361606834Z,1,2024-11-22T20:25:56.373594635Z,true,2024-11-22T20:35:43.69373052Z,Chat,2024-11-22T20:25:38.361606834Z
01JDARD83542VW5AT4YWHCJ0W7,01JDAPW2C00ZF3AQXAVKX8TVSF,2024-11-22T20:18:26.53385613Z,true,2024-11-22T20:21:57.883154948Z,01JDAPW74HW72837H4YJGX4W4C,2024-11-22T20:18:26.53385613Z,2,2024-11-22T20:18:26.53385613Z,1,2024-11-22T20:18:26.53385613Z,Round 2 / 8,2024-11-22T20:18:26.53385613Z,1,2024-11-22T20:18:41.499093968Z,true,2024-11-22T20:21:09.086614444Z,Chat,2024-11-22T20:18:26.53385613Z
01JDATEME0VTBG0BQH125ND1E0,01JDASWATE5Z48HS2DCR1W15PW,2024-11-22T20:54:09.088098052Z,true,2024-11-22T20:57:24.701177871Z,01JDASXPSXWEAA8Q04PGG5N41G,2024-11-22T20:54:09.088098052Z,1,2024-11-22T20:54:09.088098052Z,0,2024-11-22T20:54:09.088098052Z,Round 1 / 8,2024-11-22T20:54:09.088098052Z,2,2024-11-22T20:54:34.327331184Z,true,2024-11-22T20:54:56.464102982Z,Chat,2024-11-22T20:54:09.088098052Z
01JDAH3V8KPPMFMT37DS7YWE0T,01JDAGY7S217P5T9V7NJR1FC04,2024-11-22T18:10:58.451685608Z,true,2024-11-22T18:15:28.200931569Z,01JDAGY7SD98WFY7GQYRSWXS7M,2024-11-22T18:10:58.451685608Z,8,2024-11-22T18:10:58.451685608Z,7,2024-11-22T18:10:58.451685608Z,Round 8 / 8,2024-11-22T18:10:58.451685608Z,1,2024-11-22T18:10:58.568382506Z,true,2024-11-22T18:14:59.90338792Z,Chat,2024-11-22T18:10:58.451685608Z
01JDAJ56MWSZ99WD55QJF4NX05,01JDAHN0PXQ02WS4AZPQ2A3B4V,2024-11-22T18:29:11.452094916Z,true,2024-11-22T18:30:09.800386532Z,01JDAHN0Q9CZ9SCEKH4C9SVV15,2024-11-22T18:29:11.452094916Z,1,2024-11-22T18:29:11.452094916Z,0,2024-11-22T18:29:11.452094916Z,Round 1 / 8,2024-11-22T18:29:11.452094916Z,2,2024-11-22T18:29:12.007729225Z,true,2024-11-22T18:29:12.389908962Z,Chat,2024-11-22T18:29:11.452094916Z
01JDAMEJM8HP4WDNHRBPPBKX5M,01JDAM2TSJ10JQWQGTW3340Q7R,2024-11-22T19:09:15.784190793Z,true,2024-11-22T19:12:31.153236994Z,01JDAM2TVAA9VXHJXH0KVEN359,2024-11-22T19:09:15.784190793Z,7,2024-11-22T19:09:15.784190793Z,6,2024-11-22T19:09:15.784190793Z,Round 7 / 8,2024-11-22T19:09:15.784190793Z,1,2024-11-22T19:09:17.776241479Z,true,2024-11-22T19:12:15.356631801Z,Chat,2024-11-22T19:09:15.784190793Z
01JDAQ6E6GTVKB2DBH5Z6V8VJG,01JDAPA1C19K0NQZZH7FZ09D4C,2024-11-22T19:57:14.833061936Z,true,2024-11-22T20:02:36.659599884Z,01JDAPA1M38HVBXYE26SP0V6DM,2024-11-22T19:57:14.833061936Z,8,2024-11-22T19:57:14.833061936Z,7,2024-11-22T19:57:14.833061936Z,Round 8 / 8,2024-11-22T19:57:14.833061936Z,1,2024-11-22T19:57:19.559561166Z,true,2024-11-22T20:02:01.742681436Z,Chat,2024-11-22T19:57:14.833061936Z
01JDATEPQJD259QCRBQWYBNPWZ,01JDASWATE5Z48HS2DCR1W15PW,2024-11-22T20:54:11.442851052Z,false,2024-11-22T20:54:11.442851052Z,01JDASXPSXWEAA8Q04PGG5N41G,2024-11-22T20:54:11.442851052Z,7,2024-11-22T20:54:11.442851052Z,6,2024-11-22T20:54:11.442851052Z,Round 7 / 8,2024-11-22T20:54:11.442851052Z,1,2024-11-22T20:54:33.47965454Z,false,2024-11-22T20:54:11.442851052Z,Chat,2024-11-22T20:54:11.442851052Z
01JDAHYNT715EBZBTVK67BN01K,01JDAHVRZV9WJQX9TT0GVGQ53B,2024-11-22T18:25:37.607815758Z,true,2024-11-22T18:26:32.823407828Z,01JDAHVS0W33FN347ADFP6QE0S,2024-11-22T18:25:37.607815758Z,1,2024-11-22T18:25:37.607815758Z,0,2024-11-22T18:25:37.607815758Z,Round 1 / 8,2024-11-22T18:25:37.607815758Z,2,2024-11-22T18:25:37.959406164Z,true,2024-11-22T18:25:38.11600333Z,Chat,2024-11-22T18:25:37.607815758Z
01JDAJWJADVQ05T725MYX2705M,01JDAJRTCBH4BCZ83MKTEBGGC7,2024-11-22T18:41:57.069416171Z,true,2024-11-22T18:45:37.070433251Z,01JDAJRTDYY582M27KD3K717AA,2024-11-22T18:41:57.069416171Z,8,2024-11-22T18:41:57.069416171Z,7,2024-11-22T18:41:57.069416171Z,Round 8 / 8,2024-11-22T18:41:57.069416171Z,1,2024-11-22T18:41:57.912921666Z,true,2024-11-22T18:45:20.119264934Z,Chat,2024-11-22T18:41:57.069416171Z
01JDAMERYTDA8Q52J77XM97MMQ,01JDAM2VVH90HMNHEN351M66QJ,2024-11-22T19:09:22.266677163Z,true,2024-11-22T19:12:38.395019488Z,01JDAM2VY2K3KPQ93P1XACMM6X,2024-11-22T19:09:22.266677163Z,6,2024-11-22T19:09:22.266677163Z,5,2024-11-22T19:09:22.266677163Z,Round 6 / 8,2024-11-22T19:09:22.266677163Z,1,2024-11-22T19:09:23.730863543Z,true,2024-11-22T19:12:17.823449608Z,Chat,2024-11-22T19:09:22.266677163Z
01JDAN7FRAKSVWE2T7X8G3VY5W,01JDAMQV49J94G02FNW7X8D4D6,2024-11-22T19:22:52.042974208Z,true,2024-11-22T19:27:09.984776354Z,01JDAMQVTW7FDZ8D8ZYGN0EYRA,2024-11-22T19:22:52.042974208Z,6,2024-11-22T19:22:52.042974208Z,5,2024-11-22T19:22:52.042974208Z,Round 6 / 8,2024-11-22T19:22:52.042974208Z,1,2024-11-22T19:22:53.710271792Z,true,2024-11-22T19:26:29.07781839Z,Chat,2024-11-22T19:22:52.042974208Z
01JDATENGEHF346MWXFEZ10WF3,01JDASWATE5Z48HS2DCR1W15PW,2024-11-22T20:54:10.190176445Z,true,2024-11-22T21:00:01.877633153Z,01JDASXPSXWEAA8Q04PGG5N41G,2024-11-22T20:54:10.190176445Z,4,2024-11-22T20:54:10.190176445Z,3,2024-11-22T20:54:10.190176445Z,Round 4 / 8,2024-11-22T20:54:10.190176445Z,1,2024-11-22T20:54:25.567581303Z,true,2024-11-22T20:59:06.240741532Z,Chat,2024-11-22T20:54:10.190176445Z
