gameID,roundID,playerID,guess,confidence,idx,treatmentName,nSquirrels,nRabbits,batch,nRabbitsGame,nSquirrelsGame,mleEstimateIndiv,mleEstimateGame
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K2Z31ZT5MNKHNQ5GZT8MK,69,30,9,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K5HH5YD8HP88QZ06GJ3S0,50,94,9,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTRBZ34CQYZJPVTAC630,01HW6K7GSHTQWV3CRRBKTYHCNG,90,88,9,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KDZS0GEW0D0J4S4NQJ03Q,NA,NA,3,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KECQ3D5RXCWAKSTHDRM1X,NA,NA,3,rerun-unidirectional- 0.7,2,4,1_prereg_6,28,12,66,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KHDTFDH4JH3VM2RFWZ1SE,NA,NA,3,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KHF5ATAXYDCJZA3FZGYVV,NA,NA,3,rerun-unidirectional- 0.7,1,6,1_prereg_6,28,12,85,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KF4D2KZ48C4KJH49KG9J9,NA,NA,4,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KFHAR108RR4VGXGZ7KEN3,NA,NA,4,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KFMTG67YW55T084A987ND,NA,NA,4,rerun-unidirectional- 0.7,2,6,1_prereg_6,28,12,75,70
01HW6JMJDGFP6436Q4J48V7Z19,01HW6KPEZ21THXKJR1YEWWAGCJ,01HW6KG11AF4BKYPX1QCK1307C,NA,NA,4,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6JZ0JJGYAVP0QSJG75XNBJ,90,67,10,rerun-unidirectional- 0.7,3,8,1_prereg_6,28,12,72,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6JZE4P1BDZKZJCQCSA3H2J,62,73,10,rerun-unidirectional- 0.7,1,2,1_prereg_6,28,12,66,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6K1TECRQS9FG36R64ZEZAK,87,100,10,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
01HW6JMKV3F3VBPGWWNQ8SXBSJ,01HW6K9ND1RNDS36RHV1GDXJYG,01HW6K2AZASD95CV8SG08TEHNQ,61,52,10,rerun-unidirectional- 0.7,1,1,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K0NFW2WY1AXMWAR24XV48,NA,NA,10,rerun-unidirectional- 0.7,2,7,1_prereg_6,28,12,77,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K2Z31ZT5MNKHNQ5GZT8MK,NA,NA,10,rerun-unidirectional- 0.7,0,4,1_prereg_6,28,12,100,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K5HH5YD8HP88QZ06GJ3S0,NA,NA,10,rerun-unidirectional- 0.7,2,2,1_prereg_6,28,12,50,70
01HW6JMK6FNN8MQ4APBQ6JS86R,01HW6KBTTHJCAHJVF492MJE7B6,01HW6K7GSHTQWV3CRRBKTYHCNG,NA,NA,10,rerun-unidirectional- 0.7,2,1,1_prereg_6,28,12,33,70
01HW6JMHD5PYHEGPKP8Z7NZDDZ,01HW6KQZ7FPAY0VA1ASJCR651P,01HW6KDZS0GEW0D0J4S4NQJ03Q,87,69,3,rerun-unidirectional- 0.7,1,3,1_prereg_6,28,12,75,70
