"gameID","playerID","idx","participantID","text","recipient","sender"
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",3,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",2,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D7VSGQYKSTAFCQRYQS4AK",8,"01JD3D7V6DZZTQGZ20ESN6AA9K",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",3,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",7,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",4,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",8,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",6,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",1,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",2,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1SPN6GE3Y3N7VKJBF8WD","01JD3D80X8ZP4QF8Y6RJ9RGYCR",5,"01JD3D7ZTK3S17G926WZXP0539",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",2,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",5,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",8,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
"01JD3D1TJVJ8N8NRS89HKZKHSW","01JD3D85R1GK0FM4S2TEZ3BV7B",4,"01JD3D8545EAK7GK7QYMSPHRKP",<chr>,<chr>,<df[,3]>
