id,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HN8X37S0PJZ37ENP44F6N61R,01HN8WFS0FP014KCJK7JJDSJQP,2024-01-28T20:45:08.768503528Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.768503528Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.768503528Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.768503528Z,01HN8X1CT4SZJ2SHK6CG4SAT7D,2024-01-28T20:45:08.768503528Z,,,,
01HN8X37S1BWSV3TP6MJTX2HW2,01HN8WWNZQ0VB9XQN3V18JVK1F,2024-01-28T20:45:08.769704181Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.769704181Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.769704181Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.769704181Z,01HN8X1CT4SZJ2SHK6CG4SAT7D,2024-01-28T20:45:08.769704181Z,,,,
01HN8X37S255759PNN0QAXHZAD,01HN8WQEJZRX09DPVACEVBQB5A,2024-01-28T20:45:08.770504882Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.770504882Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.770504882Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.770504882Z,01HN8X1CT4SZJ2SHK6CG4SAT7D,2024-01-28T20:45:08.770504882Z,,,,
01HN8X37S316W2CNG9FV0H73RF,01HN8WVXFEX730WAJDDJWD9D7C,2024-01-28T20:45:08.771183549Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:08.771183549Z,01HN8VW4M051ARWX18T7EKNNT8,2024-01-28T20:45:08.771183549Z,01HN8X1CNZGJ0X63Y9K37NWV6V,2024-01-28T20:45:08.771183549Z,01HN8X1CT4SZJ2SHK6CG4SAT7D,2024-01-28T20:45:08.771183549Z,,,,
01HN8X3A73FM065RED2TEQRS9H,01HN8WH3THS26GR664GHZ4SJVH,2024-01-28T20:45:11.267263403Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:11.267263403Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:11.267263403Z,01HN8WZHCJ6J7PD5Z74JH63F2W,2024-01-28T20:45:11.267263403Z,01HN8WZHEDWEQZ1ZTTBF8XE0AW,2024-01-28T20:45:11.267263403Z,true,2024-01-28T20:45:25.352570945Z,85,2024-01-28T20:45:25.354039502Z
01HN8X3A74ZD7140YFY1YEXQX0,01HN8WKCFXXW3159FQBM9SSZ1S,2024-01-28T20:45:11.268469523Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:11.268469523Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:11.268469523Z,01HN8WZHCJ6J7PD5Z74JH63F2W,2024-01-28T20:45:11.268469523Z,01HN8WZHEDWEQZ1ZTTBF8XE0AW,2024-01-28T20:45:11.268469523Z,,,,
01HN8X3A754DV17FQDYC4YY141,01HN8WT5FY22ZT4J7X4VVXCHKB,2024-01-28T20:45:11.26931818Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:11.26931818Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:11.26931818Z,01HN8WZHCJ6J7PD5Z74JH63F2W,2024-01-28T20:45:11.26931818Z,01HN8WZHEDWEQZ1ZTTBF8XE0AW,2024-01-28T20:45:11.26931818Z,true,2024-01-28T20:45:16.362158377Z,80,2024-01-28T20:45:16.360193236Z
01HN8X3A76MQMQ5E59EK2FHCZE,01HN8WKAMZASB0QZ4J9133AV7J,2024-01-28T20:45:11.270411871Z,01HN8VW4KDXDSK4543MZEH5MVR,2024-01-28T20:45:11.270411871Z,01HN8VW4M12YPXWM797PV50HD0,2024-01-28T20:45:11.270411871Z,01HN8WZHCJ6J7PD5Z74JH63F2W,2024-01-28T20:45:11.270411871Z,01HN8WZHEDWEQZ1ZTTBF8XE0AW,2024-01-28T20:45:11.270411871Z,true,2024-01-28T20:45:32.949159751Z,10,2024-01-28T20:45:32.946031785Z
01HN8X3B5CK0FRZZDTTH1DSJHS,01HN8WWTP66QFX9WNBFB3XC6EX,2024-01-28T20:45:12.236365667Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:12.236365667Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:12.236365667Z,01HN8X3AWMVFM36TT1AY3TTX4J,2024-01-28T20:45:12.236365667Z,01HN8X3AYY2DYP4MYKEE3N2ZM4,2024-01-28T20:45:12.236365667Z,true,2024-01-28T20:45:31.50335106Z,50,2024-01-28T20:45:31.436649051Z
01HN8X3B5DNP7CPPKW8DHBMKAM,01HN8WZCC15KVGMJZM59SR2VFG,2024-01-28T20:45:12.237518827Z,01HN8VW75A0SZ36EFK7W5H8SM5,2024-01-28T20:45:12.237518827Z,01HN8VW75MDMST7DFQ9EYCHE3V,2024-01-28T20:45:12.237518827Z,01HN8X3AWMVFM36TT1AY3TTX4J,2024-01-28T20:45:12.237518827Z,01HN8X3AYY2DYP4MYKEE3N2ZM4,2024-01-28T20:45:12.237518827Z,true,2024-01-28T20:45:41.581825534Z,86,2024-01-28T20:45:41.576593707Z
