id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,roundID,roundIDLastChangedAt,initialized,initializedLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,timerID,timerIDLastChangedAt,status,statusLastChangedAt,endedReason,endedReasonLastChangedAt
01HVSDK3PM8CXJ6PZSVPGSM4E8,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.956483368Z,30,2024-04-18T20:15:27.956483368Z,0,2024-04-18T20:15:27.956483368Z,true,2024-04-18T20:20:10.504919594Z,send,2024-04-18T20:15:27.956483368Z,true,2024-04-18T20:20:10.431755028Z,01HVSDK3D2QCPB0ESWT1BJ2F4F,2024-04-18T20:15:27.956483368Z,true,2024-04-18T20:20:10.484819825Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.956483368Z,true,2024-04-18T20:20:40.508532461Z,01HVSDK3GFCYFGJNGTZ4GJA651,2024-04-18T20:15:27.956483368Z,,,,
01HVSDK3PP4A096QJFYNSB3QSP,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.958219235Z,30,2024-04-18T20:15:27.958219235Z,0,2024-04-18T20:15:27.958219235Z,true,2024-04-18T20:15:28.428407117Z,send,2024-04-18T20:15:27.958219235Z,true,2024-04-18T20:15:28.344999213Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:27.958219235Z,true,2024-04-18T20:15:28.407366521Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.958219235Z,true,2024-04-18T20:15:58.434439816Z,01HVSDK3GAA2TH7Z1SX2ZH30ED,2024-04-18T20:15:27.958219235Z,,,,
01HVSDK3PQR2Z2135FF2MZE67K,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.959114834Z,30,2024-04-18T20:15:27.959114834Z,1,2024-04-18T20:15:27.959114834Z,true,2024-04-18T20:20:40.591133835Z,observe,2024-04-18T20:15:27.959114834Z,true,2024-04-18T20:20:40.528356264Z,01HVSDK3D2QCPB0ESWT1BJ2F4F,2024-04-18T20:15:27.959114834Z,true,2024-04-18T20:20:40.577419988Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.959114834Z,true,2024-04-18T20:20:48.460033549Z,01HVSDK3GYQTF7G2B4JVQQE4AT,2024-04-18T20:15:27.959114834Z,,,,
01HVSDK3PQR2Z2135FFPNS2A2D,01HVSCMV1ZKTBZGHQ2VRDNTDRW,2024-04-18T20:15:27.959467962Z,30,2024-04-18T20:15:27.959467962Z,1,2024-04-18T20:15:27.959467962Z,true,2024-04-18T20:15:58.503586943Z,observe,2024-04-18T20:15:27.959467962Z,true,2024-04-18T20:15:58.447083725Z,01HVSDK3CZABCDADDQ8C6T661C,2024-04-18T20:15:27.959467962Z,true,2024-04-18T20:15:58.491086462Z,01HVSCMV2H420GY45RAV9YF2YE,2024-04-18T20:15:27.959467962Z,true,2024-04-18T20:16:28.506734951Z,01HVSDK3H4RXBWMPJA1YVDM6GR,2024-04-18T20:15:27.959467962Z,,,,
01HVSDW3GHM8FZ9VA362SV9862,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.673076032Z,30,2024-04-18T20:20:22.673076032Z,0,2024-04-18T20:20:22.673076032Z,true,2024-04-18T20:21:23.454231448Z,send,2024-04-18T20:20:22.673076032Z,true,2024-04-18T20:21:23.412304974Z,01HVSDW3ECYQMQMBXEG9F41ZMK,2024-04-18T20:20:22.673076032Z,true,2024-04-18T20:21:23.442991617Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.673076032Z,true,2024-04-18T20:21:53.459033967Z,01HVSDW3EVP7NAPKV9Y3Z82AX3,2024-04-18T20:20:22.673076032Z,,,,
01HVSDW3GJXE0PRHDYS1RRWR3T,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.674100725Z,30,2024-04-18T20:20:22.674100725Z,1,2024-04-18T20:20:22.674100725Z,true,2024-04-18T20:21:53.518186688Z,observe,2024-04-18T20:20:22.674100725Z,true,2024-04-18T20:21:53.472383094Z,01HVSDW3ECYQMQMBXEG9F41ZMK,2024-04-18T20:20:22.674100725Z,true,2024-04-18T20:21:53.506236632Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.674100725Z,true,2024-04-18T20:22:23.522544752Z,01HVSDW3G75434SYCX8QQFC4FZ,2024-04-18T20:20:22.674100725Z,,,,
01HVSDW3GKZX3S1SVRS9J5PAWS,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.675391152Z,30,2024-04-18T20:20:22.675391152Z,0,2024-04-18T20:20:22.675391152Z,true,2024-04-18T20:20:23.28193419Z,send,2024-04-18T20:20:22.675391152Z,true,2024-04-18T20:20:23.173610717Z,01HVSDW3E0XZVRZGE5M2HD9NK4,2024-04-18T20:20:22.675391152Z,true,2024-04-18T20:20:23.271310567Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.675391152Z,true,2024-04-18T20:20:53.289675705Z,01HVSDW3EVP7NAPKV9Y60HY7NZ,2024-04-18T20:20:22.675391152Z,,,,
01HVSDW3GMP6XRJDJPK6GE0ME5,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.676162132Z,30,2024-04-18T20:20:22.676162132Z,1,2024-04-18T20:20:22.676162132Z,true,2024-04-18T20:20:53.34322749Z,observe,2024-04-18T20:20:22.676162132Z,true,2024-04-18T20:20:53.303047976Z,01HVSDW3E0XZVRZGE5M2HD9NK4,2024-04-18T20:20:22.676162132Z,true,2024-04-18T20:20:53.334600568Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.676162132Z,true,2024-04-18T20:21:23.347049879Z,01HVSDW3GAHJW0383CQD15MBGG,2024-04-18T20:20:22.676162132Z,,,,
01HVSDW3GP6YY1BCJ7J6YKNFA4,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.678499352Z,30,2024-04-18T20:20:22.678499352Z,0,2024-04-18T20:20:22.678499352Z,true,2024-04-18T20:22:23.624106524Z,send,2024-04-18T20:20:22.678499352Z,true,2024-04-18T20:22:23.589224635Z,01HVSDW3EBMD5DH7KVG7NYT29K,2024-04-18T20:20:22.678499352Z,true,2024-04-18T20:22:23.612436897Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.678499352Z,true,2024-04-18T20:22:53.628606631Z,01HVSDW3F245FPHG3ZFV8Q7Z87,2024-04-18T20:20:22.678499352Z,,,,
01HVSDW3GQFH4JXBR2NP5SJF4Q,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.679236908Z,30,2024-04-18T20:20:22.679236908Z,1,2024-04-18T20:20:22.679236908Z,true,2024-04-18T20:22:53.704367937Z,observe,2024-04-18T20:20:22.679236908Z,true,2024-04-18T20:22:53.639637084Z,01HVSDW3EBMD5DH7KVG7NYT29K,2024-04-18T20:20:22.679236908Z,true,2024-04-18T20:22:53.674923076Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.679236908Z,true,2024-04-18T20:23:23.701922082Z,01HVSDW3GDYR8MGXCRA1DBT824,2024-04-18T20:20:22.679236908Z,,,,
01HVSDW3M8ZYNT2G79MG0WC4Z1,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.792646684Z,30,2024-04-18T20:20:22.792646684Z,0,2024-04-18T20:20:22.792646684Z,true,2024-04-18T20:27:14.983029463Z,send,2024-04-18T20:20:22.792646684Z,true,2024-04-18T20:27:14.927502632Z,01HVSDW3EFB0CQAPR5RF9H1EKB,2024-04-18T20:20:22.792646684Z,true,2024-04-18T20:27:14.968211411Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.792646684Z,true,2024-04-18T20:27:44.9883562Z,01HVSDW3GQFH4JXBR2P90F0SBR,2024-04-18T20:20:22.792646684Z,,,,
