id,idx,idxLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,stageIndex,stageIndexLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt
01HVSDW3EJ26ATDXG6V2HC4YA4,11,2024-04-18T20:20:22.610806577Z,Chat,2024-04-18T20:20:22.610806577Z,10,2024-04-18T20:20:22.610806577Z,2,2024-04-18T20:20:22.917403366Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.610806577Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.610806577Z,Round 11 / 12,2024-04-18T20:20:22.610806577Z,true,2024-04-18T20:30:08.154482194Z,true,2024-04-18T20:30:58.341644339Z
01HVSDW3EKF4Q7C4GKBXJDQ5NW,4,2024-04-18T20:20:22.611515825Z,Chat,2024-04-18T20:20:22.611515825Z,3,2024-04-18T20:20:22.611515825Z,2,2024-04-18T20:20:22.925335893Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.611515825Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.611515825Z,Round 4 / 12,2024-04-18T20:20:22.611515825Z,true,2024-04-18T20:23:23.728477545Z,true,2024-04-18T20:24:23.912577728Z
01HVSDW3EMZ1W4C7MRQ2J98B9R,6,2024-04-18T20:20:22.612298354Z,Chat,2024-04-18T20:20:22.612298354Z,5,2024-04-18T20:20:22.612298354Z,2,2024-04-18T20:20:22.917403366Z,01HVSD1G7FR47EZYB36FVXPS0J,2024-04-18T20:20:22.612298354Z,01HVSD1G75Z7R1XV801N2EYCVF,2024-04-18T20:20:22.612298354Z,Round 6 / 12,2024-04-18T20:20:22.612298354Z,true,2024-04-18T20:25:21.245909782Z,true,2024-04-18T20:26:19.282019295Z
01HVSDZMH9ZXY6QDJ63C4EKE6S,1,2024-04-18T20:22:18.409859097Z,Chat,2024-04-18T20:22:18.409859097Z,0,2024-04-18T20:22:18.409859097Z,2,2024-04-18T20:22:18.53285297Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.409859097Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.409859097Z,Round 1 / 12,2024-04-18T20:22:18.409859097Z,true,2024-04-18T20:22:18.89932803Z,true,2024-04-18T20:23:19.2309023Z
01HVSDZMHC2RQ16HZ933T3T4TB,2,2024-04-18T20:22:18.413004287Z,Chat,2024-04-18T20:22:18.413004287Z,1,2024-04-18T20:22:18.413004287Z,2,2024-04-18T20:22:18.622867719Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.413004287Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.413004287Z,Round 2 / 12,2024-04-18T20:22:18.413004287Z,true,2024-04-18T20:23:19.242885437Z,true,2024-04-18T20:24:11.748952324Z
01HVSDZMHEK845Y027N4PY3NDB,3,2024-04-18T20:22:18.414420096Z,Chat,2024-04-18T20:22:18.414420096Z,2,2024-04-18T20:22:18.414420096Z,2,2024-04-18T20:22:18.626144376Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.414420096Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.414420096Z,Round 3 / 12,2024-04-18T20:22:18.414420096Z,true,2024-04-18T20:24:11.769027429Z,true,2024-04-18T20:24:56.092553614Z
01HVSDZMHFG8SS0J4NPFXWXECN,5,2024-04-18T20:22:18.415415825Z,Chat,2024-04-18T20:22:18.415415825Z,4,2024-04-18T20:22:18.415415825Z,2,2024-04-18T20:22:18.609096573Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.415415825Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.415415825Z,Round 5 / 12,2024-04-18T20:22:18.415415825Z,true,2024-04-18T20:25:36.642669764Z,true,2024-04-18T20:26:20.660482818Z
01HVSDZMHGCV2XZ0K8CZVSH517,4,2024-04-18T20:22:18.416621616Z,Chat,2024-04-18T20:22:18.416621616Z,3,2024-04-18T20:22:18.416621616Z,2,2024-04-18T20:22:18.626144376Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.416621616Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.416621616Z,Round 4 / 12,2024-04-18T20:22:18.416621616Z,true,2024-04-18T20:24:56.10574287Z,true,2024-04-18T20:25:36.622848547Z
01HVSDZMHHK262Z7JS6418EGFV,6,2024-04-18T20:22:18.417583286Z,Chat,2024-04-18T20:22:18.417583286Z,5,2024-04-18T20:22:18.417583286Z,2,2024-04-18T20:22:18.493328286Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.417583286Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.417583286Z,Round 6 / 12,2024-04-18T20:22:18.417583286Z,true,2024-04-18T20:26:20.680389372Z,true,2024-04-18T20:27:09.837950207Z
01HVSDZMHJPS4PWG4ZSTSQZDC1,8,2024-04-18T20:22:18.418833856Z,Chat,2024-04-18T20:22:18.418833856Z,7,2024-04-18T20:22:18.418833856Z,2,2024-04-18T20:22:18.605317272Z,01HVSD1HA81VSVEDXZXR1M6Z4F,2024-04-18T20:22:18.418833856Z,01HVSD1H9Z2PZ0B3JXQJ3PNKEV,2024-04-18T20:22:18.418833856Z,Round 8 / 12,2024-04-18T20:22:18.418833856Z,true,2024-04-18T20:27:51.566214951Z,true,2024-04-18T20:28:37.844503776Z
