id,name,nameLastChangedAt,task,taskLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt
01HNDC5E4CTJ11JRHV0Z9P75WG,Round 1 / 9,2024-01-30T14:25:27.180970384Z,Chat,2024-01-30T14:25:27.180970384Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.180970384Z,true,2024-01-30T14:25:27.493810303Z,true,2024-01-30T14:26:27.330574131Z,2,2024-01-30T14:25:27.332564295Z,1,2024-01-30T14:25:27.180970384Z,0,2024-01-30T14:25:27.180970384Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.180970384Z
01HNDC5E4EPMF7RJFH2YD1SX46,Round 3 / 9,2024-01-30T14:25:27.1827078Z,Chat,2024-01-30T14:25:27.1827078Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.1827078Z,true,2024-01-30T14:27:17.370636395Z,true,2024-01-30T14:27:59.068043605Z,2,2024-01-30T14:25:27.332564295Z,3,2024-01-30T14:25:27.1827078Z,2,2024-01-30T14:25:27.1827078Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.1827078Z
01HNDC5E4HZ8CTQ0Z1C8ZGP0M4,Round 4 / 9,2024-01-30T14:25:27.185768962Z,Chat,2024-01-30T14:25:27.185768962Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.185768962Z,true,2024-01-30T14:27:59.09693088Z,true,2024-01-30T14:28:36.207817538Z,2,2024-01-30T14:25:27.335356623Z,4,2024-01-30T14:25:27.185768962Z,3,2024-01-30T14:25:27.185768962Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.185768962Z
01HNDC5E4KW0VT6HJM5FZ344VA,Round 6 / 9,2024-01-30T14:25:27.187653083Z,Chat,2024-01-30T14:25:27.187653083Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.187653083Z,true,2024-01-30T14:29:26.906167894Z,true,2024-01-30T14:30:08.734289054Z,2,2024-01-30T14:25:27.298276578Z,6,2024-01-30T14:25:27.187653083Z,5,2024-01-30T14:25:27.187653083Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.187653083Z
01HNDC5E4QZ4TM73B0M0NZYJR3,Round 7 / 9,2024-01-30T14:25:27.191505112Z,Chat,2024-01-30T14:25:27.191505112Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.191505112Z,true,2024-01-30T14:30:08.828506818Z,true,2024-01-30T14:31:05.178558987Z,2,2024-01-30T14:25:27.466844023Z,7,2024-01-30T14:25:27.191505112Z,6,2024-01-30T14:25:27.191505112Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.191505112Z
01HNDC5E4SE636SVDAMJKFXCHF,Round 5 / 9,2024-01-30T14:25:27.193653695Z,Chat,2024-01-30T14:25:27.193653695Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.193653695Z,true,2024-01-30T14:28:36.241713701Z,true,2024-01-30T14:29:26.659699399Z,2,2024-01-30T14:25:27.481038417Z,5,2024-01-30T14:25:27.193653695Z,4,2024-01-30T14:25:27.193653695Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.193653695Z
01HNDC5E51PK66Z6W1PZRG1PQJ,Round 8 / 9,2024-01-30T14:25:27.201514574Z,Chat,2024-01-30T14:25:27.201514574Z,01HNDC24YTK2BJ29Y3EBY2BC28,2024-01-30T14:25:27.201514574Z,true,2024-01-30T14:31:05.586357056Z,true,2024-01-30T14:31:57.71444963Z,2,2024-01-30T14:25:27.28264673Z,8,2024-01-30T14:25:27.201514574Z,7,2024-01-30T14:25:27.201514574Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:27.201514574Z
01HNDC5TG77HTWSZPTYVR25708,Round 1 / 9,2024-01-30T14:25:39.847414763Z,Chat,2024-01-30T14:25:39.847414763Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.847414763Z,true,2024-01-30T14:25:40.082868516Z,true,2024-01-30T14:26:10.247130239Z,1,2024-01-30T14:25:39.898265738Z,1,2024-01-30T14:25:39.847414763Z,0,2024-01-30T14:25:39.847414763Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.847414763Z
01HNDC5TG929DC8H9E1NB4FM8F,Round 2 / 9,2024-01-30T14:25:39.849521797Z,Chat,2024-01-30T14:25:39.849521797Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.849521797Z,true,2024-01-30T14:26:10.265697501Z,true,2024-01-30T14:26:40.382657768Z,1,2024-01-30T14:25:39.956270193Z,2,2024-01-30T14:25:39.849521797Z,1,2024-01-30T14:25:39.849521797Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.849521797Z
01HNDC5TGDH7DGBKKR8E1T5Y51,Round 5 / 9,2024-01-30T14:25:39.853364423Z,Chat,2024-01-30T14:25:39.853364423Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:39.853364423Z,true,2024-01-30T14:27:30.707880985Z,true,2024-01-30T14:27:49.257160324Z,1,2024-01-30T14:25:39.931830972Z,5,2024-01-30T14:25:39.853364423Z,4,2024-01-30T14:25:39.853364423Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:39.853364423Z
