id,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt
01HNDC5GMC5RXVRGXZN7P6R9WR,true,2024-01-30T14:25:42.975582752Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:29.740881699Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:29.740881699Z,01HNDC3RVRAA65GMNM9VGNAWB9,2024-01-30T14:25:29.740881699Z,01HNDC3RZ9XQ4D3T4GBP0MD4WH,2024-01-30T14:25:29.740881699Z,01HNDC30EDNEK5D4SPK46XX8X8,2024-01-30T14:25:29.740881699Z,50,2024-01-30T14:25:42.970227088Z
01HNDC5GMECHD9N03A792KW49A,true,2024-01-30T14:25:45.404522522Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:29.74302454Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:29.74302454Z,01HNDC3RVRAA65GMNM9VGNAWB9,2024-01-30T14:25:29.74302454Z,01HNDC3RZ9XQ4D3T4GBP0MD4WH,2024-01-30T14:25:29.74302454Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:25:29.74302454Z,100,2024-01-30T14:25:45.40253844Z
01HNDC5GMH1RJNFZC0PJMRGHPG,,,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:29.74583278Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:29.74583278Z,01HNDC3RVRAA65GMNM9VGNAWB9,2024-01-30T14:25:29.74583278Z,01HNDC3RZ9XQ4D3T4GBP0MD4WH,2024-01-30T14:25:29.74583278Z,01HNDC2D2TFSMXE4B7XCE0TZ55,2024-01-30T14:25:29.74583278Z,,
01HNDC5GMMX1D2QTQRQVEV2F86,true,2024-01-30T14:25:56.337974887Z,01HNDC24XVX52SMTNY59XNXGAF,2024-01-30T14:25:29.748250637Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:25:29.748250637Z,01HNDC3RVRAA65GMNM9VGNAWB9,2024-01-30T14:25:29.748250637Z,01HNDC3RZ9XQ4D3T4GBP0MD4WH,2024-01-30T14:25:29.748250637Z,01HNDC2H97MM64929JJZXZ4620,2024-01-30T14:25:29.748250637Z,20,2024-01-30T14:25:56.328986852Z
01HNDC5TV6RZ5SE43XM8B0RDHS,true,2024-01-30T14:25:55.693774492Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:40.198236432Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:40.198236432Z,01HNDC5TG77HTWSZPTYVR25708,2024-01-30T14:25:40.198236432Z,01HNDC5THXTTWHF9GDZG3VYMM0,2024-01-30T14:25:40.198236432Z,01HNDC2QD17Q0GF0GG9AAYT974,2024-01-30T14:25:40.198236432Z,100,2024-01-30T14:25:55.086035945Z
01HNDC5TV8KWGPSS0Y2TJB493T,,,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:40.200495119Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:40.200495119Z,01HNDC5TG77HTWSZPTYVR25708,2024-01-30T14:25:40.200495119Z,01HNDC5THXTTWHF9GDZG3VYMM0,2024-01-30T14:25:40.200495119Z,01HNDC2GMYDJ85AZ6HCTM0KCE7,2024-01-30T14:25:40.200495119Z,,
01HNDC5TVA9NQFWX51A0FYYSCP,,,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:40.202662329Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:40.202662329Z,01HNDC5TG77HTWSZPTYVR25708,2024-01-30T14:25:40.202662329Z,01HNDC5THXTTWHF9GDZG3VYMM0,2024-01-30T14:25:40.202662329Z,01HNDC2XVA6159MYXXV4NJ8CYP,2024-01-30T14:25:40.202662329Z,,
01HNDC5TVC3GTR6EB8H85WBKPC,true,2024-01-30T14:25:52.207638183Z,01HNDC2AJEJ0PA3YDXT72HTGD2,2024-01-30T14:25:40.204507126Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:25:40.204507126Z,01HNDC5TG77HTWSZPTYVR25708,2024-01-30T14:25:40.204507126Z,01HNDC5THXTTWHF9GDZG3VYMM0,2024-01-30T14:25:40.204507126Z,01HNDC2JEQ45P4PS1GNYHNMQDC,2024-01-30T14:25:40.204507126Z,50,2024-01-30T14:25:52.20529846Z
01HNDC65X0256VTEZMZKDG8KCM,true,2024-01-30T14:26:04.631921369Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:51.520496118Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:51.520496118Z,01HNDC4E1G4RYCZ5F7XYSDSR4C,2024-01-30T14:25:51.520496118Z,01HNDC4E5A1XJAV5FCF2YBXRCF,2024-01-30T14:25:51.520496118Z,01HNDC2BWH5SYS98M56DZ07EEP,2024-01-30T14:25:51.520496118Z,20,2024-01-30T14:26:04.620059182Z
01HNDC65X2CYGT6TB27GHSJQ81,true,2024-01-30T14:26:07.542136239Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:51.52304915Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:51.52304915Z,01HNDC4E1G4RYCZ5F7XYSDSR4C,2024-01-30T14:25:51.52304915Z,01HNDC4E5A1XJAV5FCF2YBXRCF,2024-01-30T14:25:51.52304915Z,01HNDC2ANR1XXE71NH09663030,2024-01-30T14:25:51.52304915Z,20,2024-01-30T14:26:07.517130223Z
01HNDC65X6NJ75FXW609GZYHJZ,true,2024-01-30T14:26:03.544703843Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:51.526802676Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:51.526802676Z,01HNDC4E1G4RYCZ5F7XYSDSR4C,2024-01-30T14:25:51.526802676Z,01HNDC4E5A1XJAV5FCF2YBXRCF,2024-01-30T14:25:51.526802676Z,01HNDC31WYP14N9WEZ0NCMDYTR,2024-01-30T14:25:51.526802676Z,15,2024-01-30T14:26:03.521973883Z
01HNDC65X97BP8DQC75C82B7ZQ,true,2024-01-30T14:26:05.864857855Z,01HNDC2A4FBQ000N9557VJ501H,2024-01-30T14:25:51.529073925Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:25:51.529073925Z,01HNDC4E1G4RYCZ5F7XYSDSR4C,2024-01-30T14:25:51.529073925Z,01HNDC4E5A1XJAV5FCF2YBXRCF,2024-01-30T14:25:51.529073925Z,01HNDC38V2G93RE564GF430461,2024-01-30T14:25:51.529073925Z,28,2024-01-30T14:26:05.854955465Z
01HNDC6ASBB3X9XHYMMKTAEMR1,true,2024-01-30T14:26:12.799322453Z,01HNDC2AR4JECJS10ED1GS89EN,2024-01-30T14:25:56.523064917Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:56.523064917Z,01HNDC6ADXJJ065WJ84WFGQJSP,2024-01-30T14:25:56.523064917Z,01HNDC6AG4BJAHJMDP3YX94MTG,2024-01-30T14:25:56.523064917Z,01HNDC2TN6SV4FH6JBP3BQHT0Y,2024-01-30T14:25:56.523064917Z,20,2024-01-30T14:26:12.794202649Z
