id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt,guess,guessLastChangedAt
01HWBAHRS04DDQFTZEP10HQHPG,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:38.048200148Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:38.048200148Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:08:38.048200148Z,01HWBAF6WNMHVNPGZS825BFR62,2024-04-25T19:08:38.048200148Z,01HWBA3A7V3YT5FS2XTCCE1P1T,2024-04-25T19:08:38.048200148Z,,,,,,
01HWBAHRS5SN7XMEHRF5CR4N1E,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:38.053989488Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:38.053989488Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:08:38.053989488Z,01HWBAF6WNMHVNPGZS825BFR62,2024-04-25T19:08:38.053989488Z,01HWBAAK6WPSQEHZQW9D1MKCCV,2024-04-25T19:08:38.053989488Z,,,,,,
01HWBAHRSAC5MK7BD7NKTTE2F2,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:08:38.058754435Z,01HWB9SVS4SMWJV23JC4ZSHMT9,2024-04-25T19:08:38.058754435Z,01HWBAF6N94SDWNFNEZNPB01HV,2024-04-25T19:08:38.058754435Z,01HWBAF6WNMHVNPGZS825BFR62,2024-04-25T19:08:38.058754435Z,01HWBACYHBBN6M2RNFT6RVDYME,2024-04-25T19:08:38.058754435Z,,,,,,
01HWBAJKH7BXR8C7M3X05ZZ41B,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.447599402Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.447599402Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.447599402Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.447599402Z,01HWBA5MRGQX7FHN61Y2K8FH83,2024-04-25T19:09:05.447599402Z,58,2024-04-25T19:09:26.18743689Z,true,2024-04-25T19:09:26.232370364Z,97,2024-04-25T19:09:26.178381679Z
01HWBAJKHH3X0J3JP9XSX2HMQ6,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.45767688Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.45767688Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.45767688Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.45767688Z,01HWBA7WEFDBN020M266RQ5D9B,2024-04-25T19:09:05.45767688Z,,,,,,
01HWBAJKHRT2Y7K7CANX0MZMQ9,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.464209543Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.464209543Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.464209543Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.464209543Z,01HWBA972AJ49NS7ZD8BF4DTCH,2024-04-25T19:09:05.464209543Z,24,2024-04-25T19:09:18.49203843Z,true,2024-04-25T19:09:18.549977096Z,83,2024-04-25T19:09:18.488722417Z
01HWBAJKHY8H38MJPGC7TK50BH,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.471006047Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.471006047Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.471006047Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.471006047Z,01HWBABKET37DZYJ7E3NHVVX2G,2024-04-25T19:09:05.471006047Z,,,,,,
01HWBAJKJ3EG1APG2R6TZ01NK0,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.475862866Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.475862866Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.475862866Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.475862866Z,01HWBABXZMSNR5EBTHEF3JBER9,2024-04-25T19:09:05.475862866Z,,,,,,
01HWBAJKJ8KCKAKX42M3JHMNYH,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.480913532Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.480913532Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.480913532Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.480913532Z,01HWBAEJ2C51JGVCYQRZHD39Q6,2024-04-25T19:09:05.480913532Z,,,,,,
01HWBAJKJEN794753PHDY5ESYJ,01HWB9SVREZ53JJBCFE6H2KTE8,2024-04-25T19:09:05.486337118Z,01HWB9SVS34WVVX651QBHPKKY0,2024-04-25T19:09:05.486337118Z,01HWBAHNC7JK7N6CVQT5ND51Z8,2024-04-25T19:09:05.486337118Z,01HWBAHNPF8P0X5BMPAV9Z143Y,2024-04-25T19:09:05.486337118Z,01HWBAEKTGGHNTQXVW4V9SYC2R,2024-04-25T19:09:05.486337118Z,,,,,,
