id,task,taskLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,start,startLastChangedAt,stageIndex,stageIndexLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt
01HWE05T83M9XQ2ZS0927B4X12,Chat,2024-04-26T20:05:03.875777441Z,true,2024-04-26T20:12:03.111228068Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.875777441Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.875777441Z,Round 8 / 12,2024-04-26T20:05:03.875777441Z,true,2024-04-26T20:11:11.376721575Z,2,2024-04-26T20:05:04.166658975Z,8,2024-04-26T20:05:03.875777441Z,7,2024-04-26T20:05:03.875777441Z
01HWE05T8593QJZN4H58GGQBGN,Chat,2024-04-26T20:05:03.877848039Z,true,2024-04-26T20:13:03.391628854Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.877848039Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.877848039Z,Round 9 / 12,2024-04-26T20:05:03.877848039Z,true,2024-04-26T20:12:03.135671774Z,2,2024-04-26T20:05:04.167013762Z,9,2024-04-26T20:05:03.877848039Z,8,2024-04-26T20:05:03.877848039Z
01HWE05T874TX57WYXFQEQN8G8,Chat,2024-04-26T20:05:03.879830079Z,true,2024-04-26T20:07:04.882227409Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.879830079Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.879830079Z,Round 2 / 12,2024-04-26T20:05:03.879830079Z,true,2024-04-26T20:06:04.683615688Z,2,2024-04-26T20:05:04.167013762Z,2,2024-04-26T20:05:03.879830079Z,1,2024-04-26T20:05:03.879830079Z
01HWE05T8AE8S4MTYX2X025TGD,Chat,2024-04-26T20:05:03.882469542Z,true,2024-04-26T20:10:25.555554092Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.882469542Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.882469542Z,Round 6 / 12,2024-04-26T20:05:03.882469542Z,true,2024-04-26T20:09:25.291574956Z,2,2024-04-26T20:05:03.959022723Z,6,2024-04-26T20:05:03.882469542Z,5,2024-04-26T20:05:03.882469542Z
01HWE05T8CS3R62GXEY664M6C3,Chat,2024-04-26T20:05:03.886398646Z,true,2024-04-26T20:15:40.35819221Z,01HWDZAVKD71B2T8P146Z0RE23,2024-04-26T20:05:03.886398646Z,01HWDZAVK2HHH7A9FE120SJX4Q,2024-04-26T20:05:03.886398646Z,Round 12 / 12,2024-04-26T20:05:03.886398646Z,true,2024-04-26T20:14:40.030411107Z,2,2024-04-26T20:05:03.986475798Z,12,2024-04-26T20:05:03.886398646Z,11,2024-04-26T20:05:03.886398646Z
01HWE092EJN0S74CCJYWM6QD2F,Chat,2024-04-26T20:06:50.578417615Z,true,2024-04-26T20:07:51.800133797Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.578417615Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.578417615Z,Round 1 / 12,2024-04-26T20:06:50.578417615Z,true,2024-04-26T20:06:51.335638279Z,2,2024-04-26T20:06:50.987793614Z,1,2024-04-26T20:06:50.578417615Z,0,2024-04-26T20:06:50.578417615Z
01HWE092ERCYQZTRHJQBPAQX76,Chat,2024-04-26T20:06:50.584515383Z,true,2024-04-26T20:16:04.327657064Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.584515383Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.584515383Z,Round 11 / 12,2024-04-26T20:06:50.584515383Z,true,2024-04-26T20:15:22.721730877Z,2,2024-04-26T20:06:50.972570356Z,11,2024-04-26T20:06:50.584515383Z,10,2024-04-26T20:06:50.584515383Z
01HWE092ES57F183WBH9M8A1RE,Chat,2024-04-26T20:06:50.585775125Z,true,2024-04-26T20:09:38.963485017Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.585775125Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.585775125Z,Round 3 / 12,2024-04-26T20:06:50.585775125Z,true,2024-04-26T20:08:44.937576438Z,2,2024-04-26T20:06:50.98611885Z,3,2024-04-26T20:06:50.585775125Z,2,2024-04-26T20:06:50.585775125Z
01HWE092EVWC108R7TXXQXCRSS,Chat,2024-04-26T20:06:50.587967365Z,true,2024-04-26T20:15:22.69869051Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.587967365Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.587967365Z,Round 10 / 12,2024-04-26T20:06:50.587967365Z,true,2024-04-26T20:14:33.93635341Z,2,2024-04-26T20:06:50.77357953Z,10,2024-04-26T20:06:50.587967365Z,9,2024-04-26T20:06:50.587967365Z
01HWE092EXFR2JEAMTN66SV35B,Chat,2024-04-26T20:06:50.589752701Z,true,2024-04-26T20:14:33.911726649Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.589752701Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.589752701Z,Round 9 / 12,2024-04-26T20:06:50.589752701Z,true,2024-04-26T20:13:49.091632762Z,2,2024-04-26T20:06:51.008673169Z,9,2024-04-26T20:06:50.589752701Z,8,2024-04-26T20:06:50.589752701Z
01HWE092EZPABE2435J796JRW2,Chat,2024-04-26T20:06:50.591811908Z,true,2024-04-26T20:13:49.056603446Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.591811908Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.591811908Z,Round 8 / 12,2024-04-26T20:06:50.591811908Z,true,2024-04-26T20:13:00.211594666Z,2,2024-04-26T20:06:50.987793614Z,8,2024-04-26T20:06:50.591811908Z,7,2024-04-26T20:06:50.591811908Z
01HWE092F1NB00HHCRJB6D6AP3,Chat,2024-04-26T20:06:50.59391088Z,true,2024-04-26T20:13:00.176638388Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.59391088Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.59391088Z,Round 7 / 12,2024-04-26T20:06:50.59391088Z,true,2024-04-26T20:12:07.887489062Z,2,2024-04-26T20:06:50.997810636Z,7,2024-04-26T20:06:50.59391088Z,6,2024-04-26T20:06:50.59391088Z
01HWE092F389NMMKMEN2ZZ46V5,Chat,2024-04-26T20:06:50.595363439Z,true,2024-04-26T20:12:07.867470987Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.595363439Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.595363439Z,Round 6 / 12,2024-04-26T20:06:50.595363439Z,true,2024-04-26T20:11:14.367324922Z,2,2024-04-26T20:06:51.001185151Z,6,2024-04-26T20:06:50.595363439Z,5,2024-04-26T20:06:50.595363439Z
01HWE092F44WHF17T5PTJ37S5E,Chat,2024-04-26T20:06:50.59670085Z,true,2024-04-26T20:11:14.340584858Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.59670085Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.59670085Z,Round 5 / 12,2024-04-26T20:06:50.59670085Z,true,2024-04-26T20:10:29.532613374Z,2,2024-04-26T20:06:51.001185151Z,5,2024-04-26T20:06:50.59670085Z,4,2024-04-26T20:06:50.59670085Z
01HWE092FBRHW2MBZ7HF4GNDFQ,Chat,2024-04-26T20:06:50.60309895Z,true,2024-04-26T20:10:29.517856067Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.60309895Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.60309895Z,Round 4 / 12,2024-04-26T20:06:50.60309895Z,true,2024-04-26T20:09:38.987850977Z,2,2024-04-26T20:06:50.77357953Z,4,2024-04-26T20:06:50.60309895Z,3,2024-04-26T20:06:50.60309895Z
01HWE092FKT96NZ39FAZ95X4TP,Chat,2024-04-26T20:06:50.61306783Z,true,2024-04-26T20:08:44.917195857Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.61306783Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.61306783Z,Round 2 / 12,2024-04-26T20:06:50.61306783Z,true,2024-04-26T20:07:51.813222275Z,2,2024-04-26T20:06:50.77357953Z,2,2024-04-26T20:06:50.61306783Z,1,2024-04-26T20:06:50.61306783Z
01HWE092FRT5TCB5W48MTF3246,Chat,2024-04-26T20:06:50.61694333Z,true,2024-04-26T20:16:47.556292014Z,01HWDZATBYG8AA4193EJ9RRM5A,2024-04-26T20:06:50.61694333Z,01HWDZATBJ8CKJ630H0EJHNC03,2024-04-26T20:06:50.61694333Z,Round 12 / 12,2024-04-26T20:06:50.61694333Z,true,2024-04-26T20:16:04.351642531Z,2,2024-04-26T20:06:51.061102016Z,12,2024-04-26T20:06:50.61694333Z,11,2024-04-26T20:06:50.61694333Z
01HWE0BNXGPQ9DX6WVT8ST973P,Chat,2024-04-26T20:08:16.048969952Z,true,2024-04-26T20:09:16.194476049Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.048969952Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.048969952Z,Round 1 / 12,2024-04-26T20:08:16.048969952Z,true,2024-04-26T20:08:16.545438169Z,2,2024-04-26T20:08:16.340377549Z,1,2024-04-26T20:08:16.048969952Z,0,2024-04-26T20:08:16.048969952Z
01HWE0BNXJED3JZRYRGYATEHW6,Chat,2024-04-26T20:08:16.050793009Z,true,2024-04-26T20:11:06.231693191Z,01HWDZAS82QZ7JN5BP0ER4FHFT,2024-04-26T20:08:16.050793009Z,01HWDZAS7MCQEA0CKR1E1TJJF3,2024-04-26T20:08:16.050793009Z,Round 3 / 12,2024-04-26T20:08:16.050793009Z,true,2024-04-26T20:10:14.758433111Z,2,2024-04-26T20:08:16.298339301Z,3,2024-04-26T20:08:16.050793009Z,2,2024-04-26T20:08:16.050793009Z
