id,roundID,roundIDLastChangedAt,batchID,batchIDLastChangedAt,timerID,timerIDLastChangedAt,ended,endedLastChangedAt,index,indexLastChangedAt,started,startedLastChangedAt,name,nameLastChangedAt,duration,durationLastChangedAt,initialized,initializedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt
01HW6935KTBDA68B5FYKV22X05,01HW69356YJ6QBWBXJ8BD9ENFC,2024-04-23T20:06:58.938096784Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:58.938096784Z,01HW6935BPNTJVA7733Z0F6816,2024-04-23T20:06:58.938096784Z,true,2024-04-23T20:08:48.122397009Z,0,2024-04-23T20:06:58.938096784Z,true,2024-04-23T20:08:28.304731463Z,observe,2024-04-23T20:06:58.938096784Z,30,2024-04-23T20:06:58.938096784Z,true,2024-04-23T20:08:28.268479162Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:58.938096784Z,true,2024-04-23T20:08:28.164949396Z
01HW6935NHYB9HSSXAQWXS8X3V,01HW69357J860QCW89GZ34E5FW,2024-04-23T20:06:58.993865591Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:58.993865591Z,01HW6935C02WTQ9F5SNKG76J2H,2024-04-23T20:06:58.993865591Z,true,2024-04-23T20:09:15.257586985Z,0,2024-04-23T20:06:58.993865591Z,true,2024-04-23T20:08:48.603107687Z,observe,2024-04-23T20:06:58.993865591Z,30,2024-04-23T20:06:58.993865591Z,true,2024-04-23T20:08:48.553005945Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:58.993865591Z,true,2024-04-23T20:08:48.423473863Z
01HW6935PXPNACAMQG3C39MT7F,01HW69358NB92MP7PMQFDAXJ2N,2024-04-23T20:06:59.038069757Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.038069757Z,01HW6935CKQ0T4E4Y84HBYTDEA,2024-04-23T20:06:59.038069757Z,true,2024-04-23T20:11:13.319906652Z,0,2024-04-23T20:06:59.038069757Z,true,2024-04-23T20:10:48.770080433Z,observe,2024-04-23T20:06:59.038069757Z,30,2024-04-23T20:06:59.038069757Z,true,2024-04-23T20:10:48.713451112Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.038069757Z,true,2024-04-23T20:10:48.608518085Z
01HW6935Q88DP985QZ6CJNTM1P,01HW69357YQNEH1DNSR7Y2D954,2024-04-23T20:06:59.048425309Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.048425309Z,01HW6935C9S48EVW8XMWNJJ0GF,2024-04-23T20:06:59.048425309Z,true,2024-04-23T20:08:09.150535857Z,0,2024-04-23T20:06:59.048425309Z,true,2024-04-23T20:07:50.851705135Z,observe,2024-04-23T20:06:59.048425309Z,30,2024-04-23T20:06:59.048425309Z,true,2024-04-23T20:07:50.817742612Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.048425309Z,true,2024-04-23T20:07:50.720195751Z
01HW6935TMFCGTKFDM8MJZ49N4,01HW69358ZN8HA6MAZ1RRNA1EN,2024-04-23T20:06:59.156121838Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.156121838Z,01HW6935DMV8FHVKCHW2NVXVBM,2024-04-23T20:06:59.156121838Z,true,2024-04-23T20:10:31.038114541Z,0,2024-04-23T20:06:59.156121838Z,true,2024-04-23T20:10:03.631427366Z,observe,2024-04-23T20:06:59.156121838Z,30,2024-04-23T20:06:59.156121838Z,true,2024-04-23T20:10:03.577121426Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.156121838Z,true,2024-04-23T20:10:03.426748185Z
01HW6935VG51MEV2JHN3GQWA7A,01HW69359ABFS876SQY76G1988,2024-04-23T20:06:59.184226377Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.184226377Z,01HW6935DXSMX2XF08ES17XP4E,2024-04-23T20:06:59.184226377Z,true,2024-04-23T20:10:48.280595415Z,0,2024-04-23T20:06:59.184226377Z,true,2024-04-23T20:10:31.40215071Z,observe,2024-04-23T20:06:59.184226377Z,30,2024-04-23T20:06:59.184226377Z,true,2024-04-23T20:10:31.366697704Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.184226377Z,true,2024-04-23T20:10:31.256741027Z
01HW6935W4F0XVWRBWRC664TXX,01HW69359NXS4DTQFCBYFXBG7T,2024-04-23T20:06:59.204583223Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.204583223Z,01HW6935EVT8W4Z7HFS87QNCGP,2024-04-23T20:06:59.204583223Z,true,2024-04-23T20:09:29.680176358Z,0,2024-04-23T20:06:59.204583223Z,true,2024-04-23T20:09:15.603309651Z,observe,2024-04-23T20:06:59.204583223Z,30,2024-04-23T20:06:59.204583223Z,true,2024-04-23T20:09:15.566488964Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.204583223Z,true,2024-04-23T20:09:15.461078493Z
01HW6935WGY6TY48ETKPPJHM8R,01HW6935A2WS0KZ7S8DYD95A5J,2024-04-23T20:06:59.216465644Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.216465644Z,01HW6935EVT8W4Z7HFS8X68QBB,2024-04-23T20:06:59.216465644Z,true,2024-04-23T20:09:46.53194264Z,0,2024-04-23T20:06:59.216465644Z,true,2024-04-23T20:09:30.035834171Z,observe,2024-04-23T20:06:59.216465644Z,30,2024-04-23T20:06:59.216465644Z,true,2024-04-23T20:09:29.997478792Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.216465644Z,true,2024-04-23T20:09:29.895099183Z
01HW6935WZAQRCZWQC19GZRCSD,01HW6935ACYXFHZ4ZS2634XW3D,2024-04-23T20:06:59.231928006Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.231928006Z,01HW6935EVT8W4Z7HFSCBH5KXA,2024-04-23T20:06:59.231928006Z,true,2024-04-23T20:10:03.112678784Z,0,2024-04-23T20:06:59.231928006Z,true,2024-04-23T20:09:46.876539134Z,observe,2024-04-23T20:06:59.231928006Z,30,2024-04-23T20:06:59.231928006Z,true,2024-04-23T20:09:46.844205754Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.231928006Z,true,2024-04-23T20:09:46.735502578Z
01HW6935XZJN5E9D3S1T63Z1WH,01HW6935AQRF5PFVCGFQ8Q4QAD,2024-04-23T20:06:59.263995575Z,01HW68QECRJ5MSES78W5TB51EV,2024-04-23T20:06:59.263995575Z,01HW6935G9YWYKQXZJMM0JY2TV,2024-04-23T20:06:59.263995575Z,true,2024-04-23T20:08:27.94232124Z,0,2024-04-23T20:06:59.263995575Z,true,2024-04-23T20:08:09.494296974Z,observe,2024-04-23T20:06:59.263995575Z,30,2024-04-23T20:06:59.263995575Z,true,2024-04-23T20:08:09.458734437Z,01HW68QEE9VAQA6V0X1JTBE62C,2024-04-23T20:06:59.263995575Z,true,2024-04-23T20:08:09.363016907Z
01HW694FYZ7ZMXTB24508FSCFA,01HW694FEEP5DJ0CTE1J87EAXX,2024-04-23T20:07:42.303832613Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.303832613Z,01HW694FMRJAR6FDQPK0Z41R2R,2024-04-23T20:07:42.303832613Z,true,2024-04-23T20:08:13.58735041Z,0,2024-04-23T20:07:42.303832613Z,true,2024-04-23T20:07:43.584161528Z,observe,2024-04-23T20:07:42.303832613Z,30,2024-04-23T20:07:42.303832613Z,true,2024-04-23T20:07:43.548539901Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.303832613Z,true,2024-04-23T20:07:43.459007518Z
01HW694G08WQKN3N6NBNPPMKB9,01HW694FEYQJBE75P0GXVJZ9C2,2024-04-23T20:07:42.344625216Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.344625216Z,01HW694FN243ZSJ88S8W97GZG9,2024-04-23T20:07:42.344625216Z,true,2024-04-23T20:08:43.92839375Z,0,2024-04-23T20:07:42.344625216Z,true,2024-04-23T20:08:13.913688121Z,observe,2024-04-23T20:07:42.344625216Z,30,2024-04-23T20:07:42.344625216Z,true,2024-04-23T20:08:13.871954923Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.344625216Z,true,2024-04-23T20:08:13.782822371Z
01HW694G2B5C9CM0J3GJV7XCFM,01HW694FFC0E0XR314YB4G3CBY,2024-04-23T20:07:42.411900095Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.411900095Z,01HW694FNYHFPRZ1H6237QV3M2,2024-04-23T20:07:42.411900095Z,true,2024-04-23T20:09:44.494537468Z,0,2024-04-23T20:07:42.411900095Z,true,2024-04-23T20:09:14.645052672Z,observe,2024-04-23T20:07:42.411900095Z,30,2024-04-23T20:07:42.411900095Z,true,2024-04-23T20:09:14.609234324Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.411900095Z,true,2024-04-23T20:09:14.494048004Z
01HW694G2Q0ZTX3J63JSWW61JH,01HW694FFZ5CR2DB1RF3DF9735,2024-04-23T20:07:42.423989649Z,01HW68XWR2684EBJ6M3JGGRJ1F,2024-04-23T20:07:42.423989649Z,01HW694FNZ8DW5NP0DCYTFPDQH,2024-04-23T20:07:42.423989649Z,true,2024-04-23T20:09:14.27738043Z,0,2024-04-23T20:07:42.423989649Z,true,2024-04-23T20:08:44.271842725Z,observe,2024-04-23T20:07:42.423989649Z,30,2024-04-23T20:07:42.423989649Z,true,2024-04-23T20:08:44.233181822Z,01HW68XWRR99JN1C04C9NRHR6W,2024-04-23T20:07:42.423989649Z,true,2024-04-23T20:08:44.148770205Z
