id,index,indexLastChangedAt,batchID,batchIDLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,start,startLastChangedAt,idx,idxLastChangedAt,stageIndex,stageIndexLastChangedAt
01HW66XWJ06XGS109QP22G9RF2,5,2024-04-23T19:29:08.672304934Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.672304934Z,Round 6 / 12,2024-04-23T19:29:08.672304934Z,Chat,2024-04-23T19:29:08.672304934Z,true,2024-04-23T19:31:20.52484529Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.672304934Z,true,2024-04-23T19:31:04.979663708Z,6,2024-04-23T19:29:08.672304934Z,1,2024-04-23T19:29:08.75225381Z
01HW66XWJ06XGS109QPHWGVNQF,11,2024-04-23T19:29:08.672904631Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.672904631Z,Round 12 / 12,2024-04-23T19:29:08.672904631Z,Chat,2024-04-23T19:29:08.672904631Z,true,2024-04-23T19:32:47.870076431Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.672904631Z,true,2024-04-23T19:32:39.066181515Z,12,2024-04-23T19:29:08.672904631Z,1,2024-04-23T19:29:08.875633255Z
01HW66XWJ1XZNGBRTJW0QW9YT9,10,2024-04-23T19:29:08.673543912Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.673543912Z,Round 11 / 12,2024-04-23T19:29:08.673543912Z,Chat,2024-04-23T19:29:08.673543912Z,true,2024-04-23T19:32:39.049537613Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.673543912Z,true,2024-04-23T19:32:30.352396108Z,11,2024-04-23T19:29:08.673543912Z,1,2024-04-23T19:29:08.873872633Z
01HW66XWJ2HSMTJHKX92CACPPN,8,2024-04-23T19:29:08.674049555Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.674049555Z,Round 9 / 12,2024-04-23T19:29:08.674049555Z,Chat,2024-04-23T19:29:08.674049555Z,true,2024-04-23T19:32:03.565431514Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.674049555Z,true,2024-04-23T19:31:48.875610413Z,9,2024-04-23T19:29:08.674049555Z,1,2024-04-23T19:29:08.755448382Z
01HW66XWJ2HSMTJHKX9MY719NT,4,2024-04-23T19:29:08.674624108Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.674624108Z,Round 5 / 12,2024-04-23T19:29:08.674624108Z,Chat,2024-04-23T19:29:08.674624108Z,true,2024-04-23T19:31:04.965301914Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.674624108Z,true,2024-04-23T19:30:50.128689313Z,5,2024-04-23T19:29:08.674624108Z,1,2024-04-23T19:29:08.74163971Z
01HW66XWJ3HWHQXTRTBT83CB04,7,2024-04-23T19:29:08.675118723Z,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:08.675118723Z,Round 8 / 12,2024-04-23T19:29:08.675118723Z,Chat,2024-04-23T19:29:08.675118723Z,true,2024-04-23T19:31:48.859426293Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:08.675118723Z,true,2024-04-23T19:31:38.987563087Z,8,2024-04-23T19:29:08.675118723Z,1,2024-04-23T19:29:08.871107251Z
01HW670BDJ4BN8VSF1JQY1RTKC,0,2024-04-23T19:30:29.426235767Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.426235767Z,Round 1 / 12,2024-04-23T19:30:29.426235767Z,Chat,2024-04-23T19:30:29.426235767Z,true,2024-04-23T19:30:59.976943248Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.426235767Z,true,2024-04-23T19:30:29.621344776Z,1,2024-04-23T19:30:29.426235767Z,1,2024-04-23T19:30:29.508676113Z
01HW670BDQS7XG1MWQAXCJE44X,2,2024-04-23T19:30:29.431267948Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.431267948Z,Round 3 / 12,2024-04-23T19:30:29.431267948Z,Chat,2024-04-23T19:30:29.431267948Z,true,2024-04-23T19:32:00.230575384Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.431267948Z,true,2024-04-23T19:31:30.107773963Z,3,2024-04-23T19:30:29.431267948Z,1,2024-04-23T19:30:29.57092793Z
01HW670BDRX91JMGMRAKWEVCVD,10,2024-04-23T19:30:29.432189013Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.432189013Z,Round 11 / 12,2024-04-23T19:30:29.432189013Z,Chat,2024-04-23T19:30:29.432189013Z,true,2024-04-23T19:35:32.095396874Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.432189013Z,true,2024-04-23T19:35:15.484082008Z,11,2024-04-23T19:30:29.432189013Z,1,2024-04-23T19:30:29.51953298Z
01HW670BDS6B4D5S7T2X23HY7B,11,2024-04-23T19:30:29.433058195Z,01HW65RN1MVRN07M5V41Z5KQ87,2024-04-23T19:30:29.433058195Z,Round 12 / 12,2024-04-23T19:30:29.433058195Z,Chat,2024-04-23T19:30:29.433058195Z,true,2024-04-23T19:36:02.297078401Z,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:30:29.433058195Z,true,2024-04-23T19:35:32.116327213Z,12,2024-04-23T19:30:29.433058195Z,1,2024-04-23T19:30:29.51953298Z
