id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGJ9E6GQJVHFY17N4X4PRH2M,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:17:49.975549262Z,,,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:17:49.975549262Z,,,01JGJ95V0TC1EPB333C5EM1SPB,2025-01-02T01:17:49.975549262Z,01JGJ9BGY27C57BN2651FYDWMJ,2025-01-02T01:17:49.975549262Z,01JGJ9BH1QZ85NQQGB77YPH25S,2025-01-02T01:17:49.975549262Z,,
01JGJ9J5JSECDZENCTZD5FWYMR,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:20:00.089769053Z,74,2025-01-02T01:20:14.661352415Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:20:00.089769053Z,25,2025-01-02T01:20:14.654597487Z,01JGJ95V0TC1EPB333C5EM1SPB,2025-01-02T01:20:00.089769053Z,01JGJ9BGY6QCGQ76GHZ6N6X372,2025-01-02T01:20:00.089769053Z,01JGJ9BH15XMM12Q5YDCAA4NJK,2025-01-02T01:20:00.089769053Z,true,2025-01-02T01:20:14.662718361Z
01JGJ9K2E7GD20QF7GM1JCAS2Q,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:20:29.639083757Z,,,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:20:29.639083757Z,,,01JGJ948GC4NV6SASK3X2XH9YW,2025-01-02T01:20:29.639083757Z,01JGJ9BGY5X7VAGHYRMA6CZV8X,2025-01-02T01:20:29.639083757Z,01JGJ9BH0V7D534G5K1HVBQKWJ,2025-01-02T01:20:29.639083757Z,,
01JGJ9J5JG40ZF2DTGHXBESTPH,01JGJ7Q1TDDCFSCSJJK08YWG8D,2025-01-02T01:20:00.080206416Z,71,2025-01-02T01:20:11.988446212Z,01JGJ7Q1TKQHEXHB6FKQWS62NY,2025-01-02T01:20:00.080206416Z,10,2025-01-02T01:20:11.989575902Z,01JGJ948GC4NV6SASK3X2XH9YW,2025-01-02T01:20:00.080206416Z,01JGJ9BGY6QCGQ76GHZ6N6X372,2025-01-02T01:20:00.080206416Z,01JGJ9BH15XMM12Q5YDCAA4NJK,2025-01-02T01:20:00.080206416Z,true,2025-01-02T01:20:11.987493143Z
01JGJ8TKBSBRHV8S9E91NVSX4J,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:07:07.769944193Z,,,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:07:07.769944193Z,,,01JGJ8NDJE69WXDGNEW1G7YDMZ,2025-01-02T01:07:07.769944193Z,01JGJ8SNN5KWVQ3EPBJQ0HWT6E,2025-01-02T01:07:07.769944193Z,01JGJ8SNTQ7Z466W4BH38ESWM3,2025-01-02T01:07:07.769944193Z,,
01JGJ8WC9H50SJHVGKN1M9JCJ0,01JGJ7Q38M5BAPANAG3C1DAXJB,2025-01-02T01:08:06.06571147Z,,,01JGJ7Q38SSSW9T0GHA4JNYXNP,2025-01-02T01:08:06.06571147Z,,,01JGJ8EG842FDVC5C0YTD0YVCT,2025-01-02T01:08:06.06571147Z,01JGJ8SNN6YNGVP15AJ4F613NQ,2025-01-02T01:08:06.06571147Z,01JGJ8SNTF7F6RSFSGGBCFP47P,2025-01-02T01:08:06.06571147Z,,
01JGJ9HT49MXH0N6SGYPN2PCX0,01JGJ91W6V8C9DH2MJ6H5G14S8,2025-01-02T01:19:48.361848538Z,,,01JGJ91W71P8SZ6D1PAER2PRBZ,2025-01-02T01:19:48.361848538Z,,,01JGJ954D80A3HE7KTNFV7SGVB,2025-01-02T01:19:48.361848538Z,01JGJ9HSRZWCM9VEHER3ZHYFE2,2025-01-02T01:19:48.361848538Z,01JGJ9HSYHV1NK5HK163EV9GJS,2025-01-02T01:19:48.361848538Z,,
01JGJ9NFH6RTY968FKY1N171PV,01JGJ91W6V8C9DH2MJ6H5G14S8,2025-01-02T01:21:48.582478045Z,58,2025-01-02T01:22:00.697177746Z,01JGJ91W71P8SZ6D1PAER2PRBZ,2025-01-02T01:21:48.582478045Z,33,2025-01-02T01:22:00.699932584Z,01JGJ94RBH0GDKFRJ4P5NF0QPG,2025-01-02T01:21:48.582478045Z,01JGJ9HSS1PVQ5KE08DM4AP4ZK,2025-01-02T01:21:48.582478045Z,01JGJ9HSX0Y2VQY05Y2ZYE5B6Z,2025-01-02T01:21:48.582478045Z,true,2025-01-02T01:22:00.698546215Z
01JGJ9NFHDHPY3GAMXFVRA5HBW,01JGJ91W6V8C9DH2MJ6H5G14S8,2025-01-02T01:21:48.589217729Z,14,2025-01-02T01:22:10.64268089Z,01JGJ91W71P8SZ6D1PAER2PRBZ,2025-01-02T01:21:48.589217729Z,80,2025-01-02T01:22:10.641400176Z,01JGJ954D80A3HE7KTNFV7SGVB,2025-01-02T01:21:48.589217729Z,01JGJ9HSS1PVQ5KE08DM4AP4ZK,2025-01-02T01:21:48.589217729Z,01JGJ9HSX0Y2VQY05Y2ZYE5B6Z,2025-01-02T01:21:48.589217729Z,true,2025-01-02T01:22:10.726544136Z
01JGJ9P57DKP7BSFJCS33Y0VXQ,01JGJ91W6V8C9DH2MJ6H5G14S8,2025-01-02T01:22:10.797711894Z,,,01JGJ91W71P8SZ6D1PAER2PRBZ,2025-01-02T01:22:10.797711894Z,,,01JGJ954D80A3HE7KTNFV7SGVB,2025-01-02T01:22:10.797711894Z,01JGJ9HSS68PYJ6ZMYBSTBWSZK,2025-01-02T01:22:10.797711894Z,01JGJ9HSTXGMJKX8TBKT0D3T4E,2025-01-02T01:22:10.797711894Z,,
