id,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,guess,guessLastChangedAt,submit,submitLastChangedAt
01HNDBE459QRZ3QKD3SZ36EVY5,01HNDBB5YR84M4WKZHTQ6KD6GC,2024-01-30T14:12:43.305111823Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:12:43.305111823Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:43.305111823Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:43.305111823Z,01HNDBB5TY6TWS2W52F0Z109P9,2024-01-30T14:12:43.305111823Z,7,2024-01-30T14:12:48.542664109Z,true,2024-01-30T14:12:48.544018455Z
01HNDBE459QRZ3QKD3TEVK1819,01HNDBB5YR84M4WKZHTQ6KD6GC,2024-01-30T14:12:43.30597657Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:12:43.30597657Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:43.30597657Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:43.30597657Z,01HNDBB5TY6TWS2W52F0Z109P9,2024-01-30T14:12:43.30597657Z,71,2024-01-30T14:12:53.807063832Z,true,2024-01-30T14:12:53.823802231Z
01HNDBEEGTBJD6FS503NWQJS4G,01HNDBB5YFD9X448VBC7CJA3C5,2024-01-30T14:12:53.914137052Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:12:53.914137052Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:53.914137052Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:53.914137052Z,01HNDBB5TY6TWS2W52ED1WPFFX,2024-01-30T14:12:53.914137052Z,5,2024-01-30T14:12:59.26662604Z,true,2024-01-30T14:12:59.269417963Z
01HNDBEEGVKEFR04S23ZVW568R,01HNDBB5YFD9X448VBC7CJA3C5,2024-01-30T14:12:53.915650015Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:12:53.915650015Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:53.915650015Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:53.915650015Z,01HNDBB5TY6TWS2W52ED1WPFFX,2024-01-30T14:12:53.915650015Z,71,2024-01-30T14:13:00.787223835Z,true,2024-01-30T14:13:00.802548503Z
01HNDBEEGW3MS09SNAK4CQKHF8,01HNDBB5YFD9X448VBC7CJA3C5,2024-01-30T14:12:53.916720053Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:12:53.916720053Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:53.916720053Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:53.916720053Z,01HNDBB5TY6TWS2W52ED1WPFFX,2024-01-30T14:12:53.916720053Z,15,2024-01-30T14:12:58.447145115Z,true,2024-01-30T14:12:58.449286947Z
01HNDBEEGX8MJBGM42C8G5JMYJ,01HNDBB5YFD9X448VBC7CJA3C5,2024-01-30T14:12:53.917994541Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:12:53.917994541Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:12:53.917994541Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:12:53.917994541Z,01HNDBB5TY6TWS2W52ED1WPFFX,2024-01-30T14:12:53.917994541Z,0,2024-01-30T14:12:57.323840638Z,true,2024-01-30T14:12:57.323089579Z
01HNDBENANB1557HCSAV6V8PKX,01HNDBB5X0FY5KWGXK3FK5QEA7,2024-01-30T14:13:00.885704573Z,01HNDB70WRRWZRX93F98SA6HXG,2024-01-30T14:13:00.885704573Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:00.885704573Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:00.885704573Z,01HNDBB5VVDGXTY4X7RHBFVB46,2024-01-30T14:13:00.885704573Z,71,2024-01-30T14:13:10.02336675Z,true,2024-01-30T14:13:10.047558733Z
01HNDBENAPD9AM7BVB70KZPY8J,01HNDBB5X0FY5KWGXK3FK5QEA7,2024-01-30T14:13:00.886739102Z,01HNDB95MW9DEJB0M9CG208G2K,2024-01-30T14:13:00.886739102Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:00.886739102Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:00.886739102Z,01HNDBB5VVDGXTY4X7RHBFVB46,2024-01-30T14:13:00.886739102Z,0,2024-01-30T14:13:06.289884967Z,true,2024-01-30T14:13:06.291178998Z
01HNDBENAQ5AJEA5YG5F6Q2WVY,01HNDBB5X0FY5KWGXK3FK5QEA7,2024-01-30T14:13:00.887423466Z,01HNDB7C0ZKF6306S76E99GBZA,2024-01-30T14:13:00.887423466Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:00.887423466Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:00.887423466Z,01HNDBB5VVDGXTY4X7RHBFVB46,2024-01-30T14:13:00.887423466Z,62,2024-01-30T14:13:06.211214808Z,true,2024-01-30T14:13:06.216310091Z
01HNDBENARA7DBZXXAP6NWP4RM,01HNDBB5X0FY5KWGXK3FK5QEA7,2024-01-30T14:13:00.888091002Z,01HNDB762M5M8Z9H1NJ54J1PNA,2024-01-30T14:13:00.888091002Z,01HNDB3WB30T3HSXFKYVFDZJVJ,2024-01-30T14:13:00.888091002Z,01HNDB3WBW63N14TZR8HZ0DZ7H,2024-01-30T14:13:00.888091002Z,01HNDBB5VVDGXTY4X7RHBFVB46,2024-01-30T14:13:00.888091002Z,5,2024-01-30T14:13:05.648908641Z,true,2024-01-30T14:13:05.651231123Z
