id,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt
01HWDP6GNK2FTPK33ER7CE7H6Y,all games finished,2024-04-26T17:56:42.95556167Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:41.075555626Z,ended,2024-04-26T17:56:42.95556167Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:41.075555626Z,true,2024-04-26T17:10:41.084162903Z
01HWDP6HH8ST7H7MGVMKRWB4N6,all games finished,2024-04-26T17:54:02.336271221Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:41.960338485Z,ended,2024-04-26T17:54:02.336271221Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:41.960338485Z,true,2024-04-26T17:10:41.968014141Z
01HWDP6JDQF0H0JJE8Q4CJGXJZ,all games finished,2024-04-26T17:51:58.451898455Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:42.871575685Z,ended,2024-04-26T17:51:58.451898455Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:42.871575685Z,true,2024-04-26T17:10:42.878932384Z
01HWDP6K9PHTQNCC0M5ZQQ9229,all games finished,2024-04-26T17:48:35.14455117Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:43.766250084Z,ended,2024-04-26T17:48:35.14455117Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:43.766250084Z,true,2024-04-26T17:10:43.782789679Z
01HWDP6M1CBG1GQWKB36RARCXV,all games finished,2024-04-26T17:47:50.703771717Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:44.524135483Z,ended,2024-04-26T17:47:50.703771717Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:44.524135483Z,true,2024-04-26T17:10:44.53469735Z
01HWDP6MSNBT7TGZZ7344GHN1A,all games finished,2024-04-26T17:41:41.338418929Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:10:45.301675184Z,ended,2024-04-26T17:41:41.338418929Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:10:45.301675184Z,true,2024-04-26T17:10:45.317261423Z
01HWDPQQD0R1KD8EYAKTKZ2WEE,all games finished,2024-04-26T17:36:47.97370528Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:20:05.024548989Z,ended,2024-04-26T17:36:47.97370528Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:20:05.024548989Z,true,2024-04-26T17:20:05.046828155Z
01HWDQD50H3JE92DNDAFRPWRY8,all games finished,2024-04-26T17:46:20.113329401Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T17:31:47.08919134Z,ended,2024-04-26T17:46:20.113329401Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:31:47.08919134Z,true,2024-04-26T17:31:47.106191816Z
01HWDRPKQCAA8Z3P36EHYYMHNM,all games finished,2024-04-26T18:04:09.37477642Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T17:54:25.644439012Z,ended,2024-04-26T18:04:09.37477642Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T17:54:25.644439012Z,true,2024-04-26T17:54:25.709531485Z
01HWDSCSA0V9MCAKQW9RQT23SM,all games finished,2024-04-26T18:37:05.919761603Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:06:32.256324251Z,ended,2024-04-26T18:37:05.919761603Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:06:32.256324251Z,true,2024-04-26T18:06:32.316915519Z
01HWDSF8T01PXGF3T420DEMNYM,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:07:53.664123701Z,terminated,2024-04-26T18:08:04.538069856Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:07:53.664123701Z,true,2024-04-26T18:07:53.69670487Z
01HWDSTT2XSEAMVVVF2SPFM9H8,all games finished,2024-04-26T18:34:33.010504359Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T18:14:11.805406006Z,ended,2024-04-26T18:34:33.010504359Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:14:11.805406006Z,true,2024-04-26T18:14:11.949142462Z
01HWDT4BXPWWX7801SC8QQPVQZ,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-26T18:19:24.982941812Z,terminated,2024-04-26T18:19:30.508784559Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:19:24.982941812Z,true,2024-04-26T18:19:25.094628347Z
01HWDTGS56CEX79QGC0WJFCSE2,all games finished,2024-04-26T18:46:30.802553049Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:26:11.750196141Z,ended,2024-04-26T18:46:30.802553049Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:26:11.750196141Z,true,2024-04-26T18:26:11.897908186Z
01HWDTPPE47SGTKQMBM4NBSNY5,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:29:25.572404893Z,terminated,2024-04-26T18:43:28.394094682Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:29:25.572404893Z,true,2024-04-26T18:29:25.861229594Z
01HWDVG9YZ3M4DWMBSWB1SZC6G,all games finished,2024-04-26T19:02:32.715076224Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:43:24.767721095Z,ended,2024-04-26T19:02:32.715076224Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:43:24.767721095Z,true,2024-04-26T18:43:31.511347232Z
01HWDVH4VGTVR7KWDCX6VD694V,all games finished,2024-04-26T19:04:43.381732747Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-26T18:43:52.3050779Z,ended,2024-04-26T19:04:43.381732747Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-04-26T18:43:52.3050779Z,true,2024-04-26T18:44:03.188505181Z
