id,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,task,taskLastChangedAt,index,indexLastChangedAt,batchID,batchIDLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,idx,idxLastChangedAt,gameID,gameIDLastChangedAt
01HWDPX8MQSF8Z6G2CWZFF0P69,2,2024-04-26T17:23:06.664173994Z,Round 10 / 12,2024-04-26T17:23:06.519863552Z,Chat,2024-04-26T17:23:06.519863552Z,9,2024-04-26T17:23:06.519863552Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.519863552Z,true,2024-04-26T17:31:33.172595544Z,true,2024-04-26T17:32:19.921063996Z,10,2024-04-26T17:23:06.519863552Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.519863552Z
01HWDPX8MRK2RPR2FX0JDKS445,2,2024-04-26T17:23:06.664173994Z,Round 5 / 12,2024-04-26T17:23:06.52099011Z,Chat,2024-04-26T17:23:06.52099011Z,4,2024-04-26T17:23:06.52099011Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.52099011Z,true,2024-04-26T17:27:02.760119209Z,true,2024-04-26T17:28:01.870994344Z,5,2024-04-26T17:23:06.52099011Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.52099011Z
01HWDPX8MTGXC9ENDBZ3WKQMSR,2,2024-04-26T17:23:06.711350999Z,Round 11 / 12,2024-04-26T17:23:06.522162266Z,Chat,2024-04-26T17:23:06.522162266Z,10,2024-04-26T17:23:06.522162266Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.522162266Z,true,2024-04-26T17:32:19.944135433Z,true,2024-04-26T17:33:01.795570035Z,11,2024-04-26T17:23:06.522162266Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.522162266Z
01HWDPX8MWAZF9NF2VAF9R77W2,2,2024-04-26T17:23:06.868089281Z,Round 12 / 12,2024-04-26T17:23:06.524066584Z,Chat,2024-04-26T17:23:06.524066584Z,11,2024-04-26T17:23:06.524066584Z,01HWDP3DT4YXBP3DYDVGM7VJGR,2024-04-26T17:23:06.524066584Z,true,2024-04-26T17:33:01.816840233Z,true,2024-04-26T17:33:51.018093527Z,12,2024-04-26T17:23:06.524066584Z,01HWDP3DTG6NCKJ6WWN5MS9JFY,2024-04-26T17:23:06.524066584Z
01HWDQ4ZM57K62541MPT0PT3R1,2,2024-04-26T17:27:19.793337253Z,Round 1 / 12,2024-04-26T17:27:19.430038186Z,Chat,2024-04-26T17:27:19.430038186Z,0,2024-04-26T17:27:19.430038186Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.430038186Z,true,2024-04-26T17:27:19.907306711Z,true,2024-04-26T17:28:19.888480626Z,1,2024-04-26T17:27:19.430038186Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.430038186Z
01HWDQ4ZM8T2CJ28Q97EYCN694,2,2024-04-26T17:27:19.70579534Z,Round 4 / 12,2024-04-26T17:27:19.43228691Z,Chat,2024-04-26T17:27:19.43228691Z,3,2024-04-26T17:27:19.43228691Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.43228691Z,true,2024-04-26T17:30:04.970053533Z,true,2024-04-26T17:31:00.05495027Z,4,2024-04-26T17:27:19.43228691Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.43228691Z
01HWDQ4ZMC60WY959JBNHE1CDT,2,2024-04-26T17:27:19.651383335Z,Round 3 / 12,2024-04-26T17:27:19.436945322Z,Chat,2024-04-26T17:27:19.436945322Z,2,2024-04-26T17:27:19.436945322Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.436945322Z,true,2024-04-26T17:29:20.206064813Z,true,2024-04-26T17:30:04.955633164Z,3,2024-04-26T17:27:19.436945322Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.436945322Z
01HWDQ4ZMEWZAG0SAWXR5HWE0G,2,2024-04-26T17:27:19.805236025Z,Round 6 / 12,2024-04-26T17:27:19.438452723Z,Chat,2024-04-26T17:27:19.438452723Z,5,2024-04-26T17:27:19.438452723Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.438452723Z,true,2024-04-26T17:31:41.364258898Z,true,2024-04-26T17:32:19.343692089Z,6,2024-04-26T17:27:19.438452723Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.438452723Z
01HWDQ4ZMF37YET8906JTZMYAJ,2,2024-04-26T17:27:19.601103281Z,Round 7 / 12,2024-04-26T17:27:19.439792815Z,Chat,2024-04-26T17:27:19.439792815Z,6,2024-04-26T17:27:19.439792815Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.439792815Z,true,2024-04-26T17:32:19.362788081Z,true,2024-04-26T17:32:58.367650568Z,7,2024-04-26T17:27:19.439792815Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.439792815Z
01HWDQ4ZMHWWYT4ZJT6AHKMTDJ,2,2024-04-26T17:27:19.798873216Z,Round 5 / 12,2024-04-26T17:27:19.441148608Z,Chat,2024-04-26T17:27:19.441148608Z,4,2024-04-26T17:27:19.441148608Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.441148608Z,true,2024-04-26T17:31:00.083775751Z,true,2024-04-26T17:31:41.339707592Z,5,2024-04-26T17:27:19.441148608Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.441148608Z
01HWDQ4ZMJ8A5QYVKASMY8A9M9,2,2024-04-26T17:27:19.601103281Z,Round 2 / 12,2024-04-26T17:27:19.442381836Z,Chat,2024-04-26T17:27:19.442381836Z,1,2024-04-26T17:27:19.442381836Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.442381836Z,true,2024-04-26T17:28:19.906872069Z,true,2024-04-26T17:29:20.183795043Z,2,2024-04-26T17:27:19.442381836Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.442381836Z
01HWDQ4ZMMX887V0422DZJN15F,2,2024-04-26T17:27:19.734189309Z,Round 9 / 12,2024-04-26T17:27:19.444039835Z,Chat,2024-04-26T17:27:19.444039835Z,8,2024-04-26T17:27:19.444039835Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.444039835Z,true,2024-04-26T17:33:48.349747769Z,true,2024-04-26T17:34:37.565533621Z,9,2024-04-26T17:27:19.444039835Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.444039835Z
01HWDQ4ZMP0EHX4ZEGCGT06F6E,2,2024-04-26T17:27:19.734189309Z,Round 8 / 12,2024-04-26T17:27:19.446213845Z,Chat,2024-04-26T17:27:19.446213845Z,7,2024-04-26T17:27:19.446213845Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.446213845Z,true,2024-04-26T17:32:58.387757987Z,true,2024-04-26T17:33:48.323367512Z,8,2024-04-26T17:27:19.446213845Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.446213845Z
01HWDQ4ZMQF2YWBC8993SE9A8A,2,2024-04-26T17:27:19.734189309Z,Round 11 / 12,2024-04-26T17:27:19.447801719Z,Chat,2024-04-26T17:27:19.447801719Z,10,2024-04-26T17:27:19.447801719Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.447801719Z,true,2024-04-26T17:35:17.784726704Z,true,2024-04-26T17:36:01.77562425Z,11,2024-04-26T17:27:19.447801719Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.447801719Z
01HWDQ4ZMV0V7YF3JMT2AK6CFG,2,2024-04-26T17:27:19.734189309Z,Round 12 / 12,2024-04-26T17:27:19.451806697Z,Chat,2024-04-26T17:27:19.451806697Z,11,2024-04-26T17:27:19.451806697Z,01HWDPQQD0R1KD8EYAKTKZ2WEE,2024-04-26T17:27:19.451806697Z,true,2024-04-26T17:36:01.805271575Z,true,2024-04-26T17:36:47.868507554Z,12,2024-04-26T17:27:19.451806697Z,01HWDPQQDQ6CTSH0F9288Z5DNJ,2024-04-26T17:27:19.451806697Z
