id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,confidence,confidenceLastChangedAt,guess,guessLastChangedAt
01HWDPV6JCPSKVH6SD8HKEZGHE,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:58.860939272Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:58.860939272Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:58.860939272Z,01HWDPPRB3BYH4J1EXTDJ4GHE4,2024-04-26T17:21:58.860939272Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:21:58.860939272Z,true,2024-04-26T17:22:10.97009529Z,92,2024-04-26T17:22:10.98773863Z,70,2024-04-26T17:22:10.999463735Z
01HWDPV6JKH7HSG3JJABSYFHQR,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:58.8671269Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:58.8671269Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:58.8671269Z,01HWDPPRB3BYH4J1EXTDJ4GHE4,2024-04-26T17:21:58.8671269Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:21:58.8671269Z,true,2024-04-26T17:22:05.411868804Z,98,2024-04-26T17:22:05.410670052Z,68,2024-04-26T17:22:05.407491426Z
01HWDPV6JSX2YFKGM85B64P24W,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:21:58.873370036Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:21:58.873370036Z,01HWDPPQZJ48XCBF7YH5AGV35D,2024-04-26T17:21:58.873370036Z,01HWDPPRB3BYH4J1EXTDJ4GHE4,2024-04-26T17:21:58.873370036Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:21:58.873370036Z,true,2024-04-26T17:22:12.849087383Z,85,2024-04-26T17:22:12.675015559Z,13,2024-04-26T17:22:12.673098217Z
01HWDPVMAZHFHXX23ENMMXYY7H,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:12.960041806Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:12.960041806Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:12.960041806Z,01HWDPPRB7848NDJKG9YK09R7E,2024-04-26T17:22:12.960041806Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:22:12.960041806Z,,,,,,
01HWDPVMB65136S6AGH3J3F7NV,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:12.966134475Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:12.966134475Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:12.966134475Z,01HWDPPRB7848NDJKG9YK09R7E,2024-04-26T17:22:12.966134475Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:22:12.966134475Z,,,,,,
01HWDPVMBB8FA35XCN61CQTH77,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:12.97183464Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:12.97183464Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:12.97183464Z,01HWDPPRB7848NDJKG9YK09R7E,2024-04-26T17:22:12.97183464Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:22:12.97183464Z,,,,,,
01HWDPVMBGBYXHZ4A0AG1ZT7J8,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:12.977017471Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:12.977017471Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:12.977017471Z,01HWDPPRB7848NDJKG9YK09R7E,2024-04-26T17:22:12.977017471Z,01HWDPGN7MDBHRD24V3VKPFTWY,2024-04-26T17:22:12.977017471Z,,,,,,
01HWDPWHPNAK0DHX742V21C6YB,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:43.029488581Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:43.029488581Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:43.029488581Z,01HWDPPRBAWB1BY3C2WEV1WR9X,2024-04-26T17:22:43.029488581Z,01HWDP9V69T71HA415X8044TBK,2024-04-26T17:22:43.029488581Z,true,2024-04-26T17:22:54.948078131Z,57,2024-04-26T17:22:54.951121764Z,26,2024-04-26T17:22:54.949391649Z
01HWDPWHPWMA9VW3YQK5RYHJ0V,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:43.036078908Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:43.036078908Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:43.036078908Z,01HWDPPRBAWB1BY3C2WEV1WR9X,2024-04-26T17:22:43.036078908Z,01HWDPE8AYQPY2SM83HVFFP96X,2024-04-26T17:22:43.036078908Z,true,2024-04-26T17:22:54.188666733Z,93,2024-04-26T17:22:54.211902701Z,81,2024-04-26T17:22:54.226499327Z
01HWDPWHQ3EHK95BV04D9CP8W8,01HWDP39KSCCM7MPGXPHST1Z9T,2024-04-26T17:22:43.043239369Z,01HWDP39MDQ4EJ18DDSHEFDB0S,2024-04-26T17:22:43.043239369Z,01HWDPPQZJ48XCBF7YHN63KJ64,2024-04-26T17:22:43.043239369Z,01HWDPPRBAWB1BY3C2WEV1WR9X,2024-04-26T17:22:43.043239369Z,01HWDPFSB24HBGGCPWC4Z908SA,2024-04-26T17:22:43.043239369Z,true,2024-04-26T17:22:50.346673748Z,89,2024-04-26T17:22:50.345551988Z,61,2024-04-26T17:22:50.343879481Z
