id,batchID,batchIDLastChangedAt,confidence,confidenceLastChangedAt,gameID,gameIDLastChangedAt,guess,guessLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JGQ0CYN3QTX5FQZ7RDRDW9GG,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:16:04.131167792Z,,,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:16:04.131167792Z,,,01JGPZG59944099EVHQFGGF0SA,2025-01-03T21:16:04.131167792Z,01JGQ0B3D51QBKQ8KP3G9X0D7H,2025-01-03T21:16:04.131167792Z,01JGQ0B3H5PWS4JF14GBWBKZ69,2025-01-03T21:16:04.131167792Z,,
01JGQ109XEMBJZABKPN1301J2V,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:26:38.254913677Z,79,2025-01-03T21:26:54.317884313Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:26:38.254913677Z,100,2025-01-03T21:26:54.274199956Z,01JGQ0K1WF2HT2V04RZKFR203P,2025-01-03T21:26:38.254913677Z,01JGQ0X95MR639AGYNAC5F7X2T,2025-01-03T21:26:38.254913677Z,01JGQ0X97MTXDGSPWK2EP0P5MT,2025-01-03T21:26:38.254913677Z,true,2025-01-03T21:26:54.272408421Z
01JGQ11VTRGSK9B9CGHD2E5BQM,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:27:29.368357689Z,23,2025-01-03T21:27:39.349016291Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:27:29.368357689Z,50,2025-01-03T21:27:39.346437912Z,01JGQ0JBDKZKSRNR14D9DNV3KC,2025-01-03T21:27:29.368357689Z,01JGQ0X95GD32YNB7VFN5C9K62,2025-01-03T21:27:29.368357689Z,01JGQ0X9BJGFDWTR467B2THXHV,2025-01-03T21:27:29.368357689Z,true,2025-01-03T21:27:39.355292444Z
01JGQ13NGT0N0DD2GV52N0GTM3,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:28:28.442445794Z,100,2025-01-03T21:28:35.959439564Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:28:28.442445794Z,0,2025-01-03T21:28:35.957369402Z,01JGQ0E65PV4KS9CA6CGT3DF26,2025-01-03T21:28:28.442445794Z,01JGQ12QTTNNB6JWK8HT92H4YQ,2025-01-03T21:28:28.442445794Z,01JGQ12QX5S5C793AGJKAZ8ABM,2025-01-03T21:28:28.442445794Z,true,2025-01-03T21:28:36.067095057Z
01JGQ07NV6DMGE54JV3DTJY7EA,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:13:11.270552587Z,92,2025-01-03T21:13:26.06050351Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:13:11.270552587Z,88,2025-01-03T21:13:26.061351311Z,01JGPZWDB906WGPE716Q82VST1,2025-01-03T21:13:11.270552587Z,01JGQ04X8V95ZN0FVACG6SJFXA,2025-01-03T21:13:11.270552587Z,01JGQ04XBBMPPFW0GJQFMWTYWN,2025-01-03T21:13:11.270552587Z,true,2025-01-03T21:13:26.06897031Z
01JGQ0Y6Y27HPCTDMA0DMYGX65,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:25:29.666074182Z,82,2025-01-03T21:25:42.122737712Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:25:29.666074182Z,0,2025-01-03T21:25:42.115810665Z,01JGQ0F2Q1BGAXWC42W1W362R7,2025-01-03T21:25:29.666074182Z,01JGQ0X95CC0HHA9EHCRKJBGJP,2025-01-03T21:25:29.666074182Z,01JGQ0X9BPY7BBJYXDCP793RJ2,2025-01-03T21:25:29.666074182Z,true,2025-01-03T21:25:42.130695683Z
01JGQ0YWFX4DB9J5TKRMGEXZM4,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:25:51.741923796Z,100,2025-01-03T21:26:06.736374644Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:25:51.741923796Z,0,2025-01-03T21:26:06.711446058Z,01JGQ0F2Q1BGAXWC42W1W362R7,2025-01-03T21:25:51.741923796Z,01JGQ0X95Q15GZQNNAAAVFJ3JS,2025-01-03T21:25:51.741923796Z,01JGQ0X98VN2EY2JBPCVADTQR7,2025-01-03T21:25:51.741923796Z,true,2025-01-03T21:26:06.739257676Z
01JGQ12R5TB03S3MMY45QX7MBT,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:27:58.394997025Z,,,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:27:58.394997025Z,,,01JGQ0M80VEDX4T85AQX5ZGNPX,2025-01-03T21:27:58.394997025Z,01JGQ12QTTNNB6JWK8HT92H4YQ,2025-01-03T21:27:58.394997025Z,01JGQ12QX37CR0F4N8DQ5HFTNC,2025-01-03T21:27:58.394997025Z,,
01JGQ09GNFB0GJ137QQA9V98AG,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:14:11.503527566Z,,,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:14:11.503527566Z,,,01JGPZRZ4ZQDHG4XA5BZMF8KRX,2025-01-03T21:14:11.503527566Z,01JGQ04X8S6DPYE9QCR43KZX51,2025-01-03T21:14:11.503527566Z,01JGQ04XB27S87H2HA7CNE955V,2025-01-03T21:14:11.503527566Z,,
01JGQ0FDM90CRB7HDW3814STC5,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:17:25.001241686Z,13,2025-01-03T21:17:49.267394121Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:17:25.001241686Z,45,2025-01-03T21:17:49.265780504Z,01JGPZW8Z1TJ5HFSP3CC8MPYZH,2025-01-03T21:17:25.001241686Z,01JGQ0B3DE2D00V1FXNVWKDBR7,2025-01-03T21:17:25.001241686Z,01JGQ0B3G2Y3TWZC24VPM0VN0Q,2025-01-03T21:17:25.001241686Z,true,2025-01-03T21:17:49.269946094Z
