id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,guess,guessLastChangedAt,confidence,confidenceLastChangedAt,submit,submitLastChangedAt
01HW66X9860938H4FQ5FYKGTQQ,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:48.902517807Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:48.902517807Z,01HW66S28FH5P0177YMY6RPWD7,2024-04-23T19:28:48.902517807Z,01HW66S2ET3YY0PX07T1AHX0XY,2024-04-23T19:28:48.902517807Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:28:48.902517807Z,,,,,,
01HW66X98D9781BTGWN3E2B9CB,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:48.909058335Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:48.909058335Z,01HW66S28FH5P0177YMY6RPWD7,2024-04-23T19:28:48.909058335Z,01HW66S2ET3YY0PX07T1AHX0XY,2024-04-23T19:28:48.909058335Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:28:48.909058335Z,62,2024-04-23T19:28:59.142362332Z,91,2024-04-23T19:28:59.143158006Z,true,2024-04-23T19:28:59.148137194Z
01HW66X98HTDCJJJ727F87TA8G,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:48.914001701Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:48.914001701Z,01HW66S28FH5P0177YMY6RPWD7,2024-04-23T19:28:48.914001701Z,01HW66S2ET3YY0PX07T1AHX0XY,2024-04-23T19:28:48.914001701Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:28:48.914001701Z,32,2024-04-23T19:29:02.972914736Z,73,2024-04-23T19:29:02.973513274Z,true,2024-04-23T19:29:02.977452294Z
01HW66X98PP9C91YHZE31Q5AM9,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:28:48.918167612Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:28:48.918167612Z,01HW66S28FH5P0177YMY6RPWD7,2024-04-23T19:28:48.918167612Z,01HW66S2ET3YY0PX07T1AHX0XY,2024-04-23T19:28:48.918167612Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:28:48.918167612Z,57,2024-04-23T19:28:54.67224644Z,60,2024-04-23T19:28:54.66752525Z,true,2024-04-23T19:28:54.673064788Z
01HW66XQ2M6PS1EJK48F6K4X17,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:03.060246477Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:03.060246477Z,01HW66S28GFG8V1MV580RXPWHT,2024-04-23T19:29:03.060246477Z,01HW66S2J73S8PFNN9W1ARVED0,2024-04-23T19:29:03.060246477Z,01HW66EKJSHK1TDTA8J6QYSN48,2024-04-23T19:29:03.060246477Z,,,,,,
01HW66XQ2TET64FAQTNVTBE6AV,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:03.066538604Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:03.066538604Z,01HW66S28GFG8V1MV580RXPWHT,2024-04-23T19:29:03.066538604Z,01HW66S2J73S8PFNN9W1ARVED0,2024-04-23T19:29:03.066538604Z,01HW66HB1DF9Q7QSWX9ZTK3TKP,2024-04-23T19:29:03.066538604Z,68,2024-04-23T19:29:15.942924292Z,73,2024-04-23T19:29:15.94101681Z,true,2024-04-23T19:29:15.946083944Z
01HW66XQ2Z2KZR4DNCFV3ET9FK,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:03.071896739Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:03.071896739Z,01HW66S28GFG8V1MV580RXPWHT,2024-04-23T19:29:03.071896739Z,01HW66S2J73S8PFNN9W1ARVED0,2024-04-23T19:29:03.071896739Z,01HW66KZZ28TB65M259NA81579,2024-04-23T19:29:03.071896739Z,25,2024-04-23T19:29:18.565648995Z,84,2024-04-23T19:29:18.5665529Z,true,2024-04-23T19:29:18.570342323Z
01HW66XQ36VD0QRHJY19XQNV98,01HW65NTPRBDWA01CY3WJM1NSS,2024-04-23T19:29:03.078143555Z,01HW65NTQAEFPDQM85F3KF8DKE,2024-04-23T19:29:03.078143555Z,01HW66S28GFG8V1MV580RXPWHT,2024-04-23T19:29:03.078143555Z,01HW66S2J73S8PFNN9W1ARVED0,2024-04-23T19:29:03.078143555Z,01HW66P01JA1T3HXTJWM1G4W06,2024-04-23T19:29:03.078143555Z,58,2024-04-23T19:29:10.347868601Z,51,2024-04-23T19:29:10.342854723Z,true,2024-04-23T19:29:10.345841682Z
01HW66XWYA3JB35DM8HWZY839A,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:09.066284014Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:09.066284014Z,01HW66XWHS928K8Y6ZQKRX4W5T,2024-04-23T19:29:09.066284014Z,01HW66XWKX6DPNZ909VWJYKP4K,2024-04-23T19:29:09.066284014Z,01HW66MYWNA3YYR374RDDD12QN,2024-04-23T19:29:09.066284014Z,,,,,,
01HW66XWYE5WA59K6PXCTMG3SP,01HW65RNPY0F0AJDEWETBECD0E,2024-04-23T19:29:09.070349419Z,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:29:09.070349419Z,01HW66XWHS928K8Y6ZQKRX4W5T,2024-04-23T19:29:09.070349419Z,01HW66XWKX6DPNZ909VWJYKP4K,2024-04-23T19:29:09.070349419Z,01HW66NFR9V6MYCXFK43FS6CD8,2024-04-23T19:29:09.070349419Z,,,,,,
